date,mean winter bottom temperature
1950,3.74
1953,3.8
1959,3.62
1960,3.96
1961,3.72
1962,4.24
1963,3.52
1964,4.03
1974,3.53
1975,4.08
1976,3.43
1978,3.78
1979,3.53
1981,3.7
1985,4.52
2013,4.27
2015,4.81
2016,4.79
