date,mean summer hypolimnetic oxygen concentration
1942,2.27
1949,2.43
1950,1.03
1953,0.59
1954,0.47
1956,1.85
1958,4.41
1959,1.61
1960,2.27
1961,1.39
1962,3.35
1963,0.7
1964,0.16
1965,0.21
1966,2.49
1967,0.35
1968,0.2
1969,0.41
1970,0.68
1971,0.2
1972,0.0
1973,0.39
1974,0.16
1975,0.68
1976,0.17
1977,0.2
1978,1.13
1979,0.76
1980,0.65
1981,0.0
1982,0.28
1983,0.36
1984,1.0
1985,0.1
1986,0.72
1987,0.1
1988,0.54
1989,0.17
1990,0.26
1991,0.1
1992,0.79
1993,1.93
1994,2.58
1995,1.92
1996,4.11
1997,1.81
1998,1.88
1999,3.16
2000,2.37
2001,2.37
2002,1.73
2003,3.04
2004,2.84
2005,2.73
2006,2.61
2007,1.53
2008,2.55
2009,2.57
2010,3.53
2011,3.4
2012,2.0
2013,3.92
2014,0.23
2015,2.17
2016,1.47
2017,1.15
2018,4.21
2019,2.79
2020,2.58
2021,4.2
2022,1.87
2023,1.23
