date,mean early autumn hypolimnetic oxygen content
1941,17.04
1942,24.8
1949,7.09
1950,2.69
1953,3.79
1954,2.17
1956,6.47
1958,17.71
1959,11.05
1960,13.72
1961,8.74
1962,7.06
1963,2.65
1964,5.1
1965,2.46
1966,2.79
1967,4.71
1968,1.94
1969,3.23
1970,2.08
1971,0.0
1972,0.0
1973,2.54
1974,2.35
1975,3.66
1977,1.67
1978,2.74
1979,1.5
1980,0.0
1981,0.0
1982,0.11
1983,0.0
1984,2.97
1985,0.0
1986,0.03
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,6.41
1993,0.94
1994,4.41
1995,1.64
1996,21.15
1997,1.87
1998,1.33
1999,9.97
2000,5.65
2001,3.23
2002,1.31
2003,6.32
2004,7.83
2005,3.93
2006,6.83
2007,8.26
2008,3.44
2010,7.23
2011,5.82
2012,2.45
2013,13.69
2014,3.24
2015,5.33
2016,5.58
2017,5.88
2018,26.72
2019,4.53
2020,6.65
2021,11.06
2022,11.51
2023,7.25
