date,mean autumn hypolimnetic density
1977,1000.1946
1978,1000.2185
1979,1000.2223
1980,1000.2406
1981,1000.2224
1982,1000.2283
1983,1000.2181
1984,1000.2315
1985,1000.2081
1986,1000.2148
1987,1000.2401
1988,1000.2433
1989,1000.2294
1990,1000.2595
1991,1000.2912
1992,1000.279
1993,1000.2465
1994,1000.249
1995,1000.2677
1996,1000.2575
1997,1000.231
1998,1000.2261
1999,1000.2517
2000,1000.2093
2001,1000.2024
2002,1000.1929
2003,1000.2188
2004,1000.2163
2005,1000.2241
2006,1000.2281
2007,1000.2062
2008,1000.2009
2010,1000.2351
2011,1000.2327
2012,1000.2533
2013,1000.2553
2014,1000.2392
2015,1000.2203
2016,1000.2316
2017,1000.2316
2018,1000.2329
2019,1000.2029
2020,1000.1975
2021,1000.2121
2022,1000.2162
2023,1000.2238
