date,mean summer epilimnion 0-10 m oxygen concentration
1942,8.4
1949,6.84
1950,6.26
1953,6.68
1954,6.56
1956,7.36
1958,8.66
1959,8.51
1960,8.25
1961,8.66
1962,9.46
1963,5.9
1964,5.81
1965,6.71
1966,6.04
1967,5.34
1968,6.25
1969,6.99
1970,6.99
1971,8.29
1972,4.86
1973,5.02
1974,7.42
1975,5.63
1976,4.95
1977,5.41
1978,9.01
1979,6.48
1980,8.55
1981,6.1
1982,6.23
1983,7.81
1984,7.12
1985,8.63
1986,8.31
1987,6.86
1988,8.41
1989,8.41
1990,8.6
1991,10.32
1992,8.44
1993,11.54
1994,8.79
1995,9.1
1996,9.43
1997,11.35
1998,9.72
1999,8.95
2000,10.67
2001,9.0
2002,9.81
2003,10.35
2004,10.59
2005,10.02
2006,10.27
2007,8.63
2008,9.84
2009,9.54
2010,9.82
2011,10.13
2012,8.73
2013,9.56
2014,8.16
2015,8.62
2016,8.16
2017,9.25
2018,11.76
2019,10.09
2020,9.92
2021,9.94
2022,9.9
2023,10.61
