date,mean spring bottom oxygen concentration
1942,7.72
1949,8.13
1950,9.4
1953,2.85
1954,5.31
1956,3.98
1958,11.77
1959,7.75
1960,6.58
1961,5.94
1962,11.62
1963,0.12
1964,0.07
1965,0.0
1966,3.43
1967,5.33
1968,6.34
1969,5.92
1971,0.0
1972,0.0
1973,5.24
1974,3.17
1975,4.13
1976,6.72
1977,0.0
1978,9.06
1979,4.17
1980,5.66
1981,0.0
1982,1.23
1983,7.55
1984,6.47
1985,0.97
1986,5.62
1987,2.21
1988,5.4
1989,2.96
1990,2.82
1991,2.14
1992,4.34
1993,4.98
1994,9.63
1995,9.03
1996,9.43
1997,7.32
1998,9.37
1999,8.73
2000,8.9
2001,9.02
2002,7.71
2003,9.44
2004,9.9
2005,8.91
2007,6.53
2008,9.03
2009,7.64
2010,9.61
2011,8.18
2012,4.97
2013,4.65
2014,0.92
2015,7.28
2016,7.82
2017,6.66
2018,10.29
2019,8.47
2020,6.89
2021,8.13
2022,8.56
2023,8.18
