date,mean summer surface oxygen concentration
1942,11.47
1949,10.88
1950,10.33
1953,12.32
1954,10.74
1956,11.55
1958,16.66
1959,11.95
1960,12.09
1961,12.82
1962,15.33
1963,11.46
1964,12.67
1965,14.13
1966,10.88
1967,11.4
1968,13.93
1969,13.59
1970,14.85
1971,16.44
1972,11.73
1973,10.76
1974,16.34
1975,11.22
1976,11.19
1977,11.79
1978,15.37
1979,13.65
1980,13.2
1981,11.91
1982,9.94
1983,10.85
1984,10.48
1985,12.4
1986,14.49
1987,11.96
1988,12.36
1989,11.22
1990,10.95
1991,12.82
1992,10.82
1993,13.3
1994,9.33
1995,9.86
1996,10.7
1997,12.98
1998,10.94
1999,10.76
2000,10.66
2001,10.43
2002,10.9
2003,10.72
2004,10.48
2005,9.85
2006,9.13
2007,10.78
2008,10.8
2009,10.46
2010,10.66
2011,9.52
2012,10.36
2013,9.76
2014,10.5
2015,10.95
2016,10.38
2017,10.47
2018,10.18
2019,9.96
2020,10.37
2021,10.19
2022,9.81
2023,10.68
