date,mean spring surface temperature
1942,8.34
1949,13.48
1950,7.47
1953,8.56
1954,6.39
1956,9.3
1958,6.78
1959,11.02
1960,12.09
1961,10.11
1962,5.55
1963,6.56
1964,8.04
1965,5.55
1966,10.26
1967,9.13
1968,8.67
1969,6.28
1971,12.19
1972,8.56
1973,6.62
1974,11.44
1975,6.86
1976,10.99
1977,6.9
1978,7.04
1979,7.33
1980,6.75
1981,7.14
1982,6.9
1983,9.3
1984,6.25
1985,10.58
1986,8.0
1987,7.75
1988,12.21
1989,10.33
1990,10.68
1991,8.82
1992,8.33
1993,10.0
1994,9.11
1995,9.07
1996,8.09
1997,8.81
1998,11.2
1999,11.93
2000,10.63
2001,9.4
2002,8.93
2003,13.07
2004,9.87
2005,12.36
2006,6.91
2007,13.83
2008,8.38
2009,10.86
2010,7.54
2011,11.92
2012,9.3
2013,9.19
2014,13.38
2015,9.79
2016,10.26
2017,14.31
2018,10.28
2019,9.41
2020,12.36
2021,9.15
2022,9.55
2023,9.67
