date,mean late autumn Schmidt stability
1941,42.22
1949,102.14
1950,68.68
1953,129.76
1954,108.48
1956,53.59
1958,29.1
1959,18.82
1960,24.05
1961,50.41
1962,72.96
1963,146.02
1964,66.83
1965,106.19
1966,92.47
1967,184.25
1968,181.25
1969,221.76
1970,124.53
1971,110.67
1972,62.51
1973,34.14
1974,20.81
1975,111.75
1976,150.52
1977,105.36
1978,99.62
1979,108.3
1980,79.46
1981,77.93
1982,145.6
1983,108.11
1984,174.4
1985,137.3
1986,141.45
1987,151.78
1988,129.33
1990,156.67
1991,167.57
1992,95.24
1993,118.47
1994,176.19
1995,154.29
1996,110.95
1997,133.99
1998,177.56
1999,263.24
2000,174.58
2001,149.47
2002,116.33
2003,78.34
2004,162.35
2005,194.03
2006,201.22
2007,83.43
2008,115.25
2009,154.82
2010,119.09
2011,215.27
2012,146.45
2013,171.62
2014,226.42
2015,178.85
2016,103.14
2017,193.52
2018,219.55
2019,196.0
2020,178.78
2021,138.09
2022,266.08
2023,194.12
