date,mean summer Schmidt stability
1942,875.45
1949,896.49
1950,992.93
1953,930.77
1954,681.89
1956,720.62
1958,964.38
1959,771.22
1960,721.77
1961,726.39
1962,731.99
1963,894.4
1964,948.39
1965,806.57
1966,687.2
1967,852.7
1968,1015.36
1969,671.27
1970,918.48
1971,842.62
1972,769.7
1973,627.25
1974,792.31
1975,732.11
1976,943.43
1977,742.87
1978,704.68
1979,782.71
1980,717.91
1981,594.98
1982,798.68
1983,1050.57
1984,930.15
1985,874.05
1986,872.14
1987,724.85
1988,1034.97
1989,1100.75
1990,937.17
1991,1159.62
1992,1059.95
1993,828.53
1994,1107.28
1995,976.89
1996,798.17
1997,991.44
1998,1025.92
1999,913.78
2000,917.51
2001,892.24
2002,1025.99
2003,1233.16
2004,930.69
2005,1039.1
2006,1081.59
2007,865.22
2008,890.15
2009,907.41
2010,620.98
2011,989.05
2012,1046.79
2013,865.12
2014,866.35
2015,1068.18
2016,991.06
2017,1098.01
2018,1202.47
2019,1202.93
2020,1105.14
2021,917.44
2022,1209.23
2023,1172.28
