date,mean spring Secchi depth
1942,2.13
1949,1.55
1950,2.18
1953,1.67
1954,2.9
1956,2.76
1958,2.81
1959,0.96
1960,1.59
1961,1.83
1962,2.85
1963,4.25
1964,2.81
1965,2.98
1966,2.43
1967,3.39
1968,2.1
1969,2.06
1971,1.3
1972,1.93
1973,1.42
1974,2.66
1975,2.32
1976,1.23
1977,2.14
1978,1.79
1979,1.43
1980,1.75
1981,1.6
1982,1.97
1983,1.12
1984,1.7
1985,1.2
1986,2.61
1987,2.51
1988,2.89
1989,5.17
1990,5.82
1991,4.51
1992,2.66
1993,3.01
1994,1.84
2000,2.82
2001,3.13
2002,4.72
2003,4.42
2004,3.7
2005,2.3
2006,3.5
2007,4.4
2008,2.87
2009,2.34
2010,3.35
2011,4.42
2012,4.07
2013,4.45
2014,3.97
2015,3.85
2016,2.79
2017,1.84
2018,3.63
2019,3.59
2020,4.29
2021,4.85
2022,4.23
2023,3.42
