date,mean late summer Secchi depth
1942,2.95
1949,2.55
1950,4.03
1953,2.42
1954,2.5
1955,3.65
1956,1.88
1958,1.63
1959,2.69
1960,1.86
1961,2.17
1962,1.65
1963,2.85
1964,1.19
1965,1.76
1966,2.33
1967,2.01
1968,1.26
1969,1.12
1970,1.39
1971,2.3
1972,1.45
1973,1.13
1974,1.3
1975,2.08
1977,1.66
1978,1.74
1979,2.01
1980,1.58
1981,2.11
1982,3.98
1983,1.48
1984,2.7
1985,2.94
1986,2.78
1987,3.13
1988,2.57
1989,3.97
1990,4.01
1991,2.64
1992,3.82
1993,2.97
1994,2.27
2000,2.29
2001,2.52
2002,2.88
2003,2.38
2004,2.33
2005,3.16
2006,3.96
2007,3.03
2008,3.37
2009,2.47
2010,1.67
2011,2.3
2012,2.33
2013,3.05
2014,1.9
2015,1.78
2016,1.39
2017,2.27
2018,2.16
2019,2.49
2020,1.47
2021,2.03
2022,1.91
2023,2.27
