date,mean autumn Schmidt stability
1941,360.81
1949,494.84
1950,322.07
1953,415.1
1954,339.89
1956,290.31
1958,241.04
1959,151.02
1960,156.49
1961,281.01
1962,278.92
1963,328.09
1964,359.83
1965,332.98
1966,476.05
1967,427.37
1968,361.71
1969,429.7
1970,377.39
1971,339.09
1972,214.21
1973,188.0
1974,187.07
1975,455.94
1976,377.29
1977,302.31
1978,348.38
1979,343.45
1980,404.09
1981,302.77
1982,418.07
1983,393.05
1984,376.05
1985,518.63
1986,382.31
1987,427.49
1988,412.76
1989,512.32
1990,437.4
1991,462.77
1992,378.63
1993,346.33
1994,438.93
1995,484.52
1996,303.51
1997,476.31
1998,344.78
1999,466.68
2000,447.64
2001,434.97
2002,299.08
2003,411.86
2004,452.93
2005,491.2
2006,500.27
2007,450.51
2008,362.74
2010,281.8
2011,494.36
2012,473.55
2013,400.64
2014,596.77
2015,373.99
2016,371.75
2017,506.5
2018,574.06
2019,489.95
2020,455.7
2021,439.61
2022,480.51
2023,675.22
