date,mean winter Schmidt stability
1950,0.06
1953,34.46
1959,6.61
1960,1.08
1961,4.46
1962,1.07
1963,28.43
1964,3.25
1974,4.6
1975,0.04
1976,0.04
1978,3.0
1979,10.04
1981,6.72
1985,5.18
2013,-0.95
2015,0.01
2016,-0.3
