date,mean autumn surface temperature
1941,13.31
1949,14.66
1950,12.65
1953,14.16
1954,13.34
1956,12.44
1958,12.37
1959,14.68
1960,12.22
1961,16.58
1962,13.48
1963,12.84
1964,12.51
1965,12.87
1966,14.87
1967,14.64
1968,13.44
1969,14.64
1970,13.87
1971,12.97
1972,11.37
1973,10.78
1974,10.59
1975,14.57
1976,14.2
1977,12.99
1978,13.34
1979,13.67
1980,14.13
1981,12.44
1982,14.54
1983,13.64
1984,13.41
1985,15.07
1986,14.21
1987,14.27
1988,13.88
1989,15.3
1990,14.09
1991,14.39
1992,13.04
1993,13.17
1994,14.63
1995,15.27
1996,12.32
1997,14.77
1998,12.95
1999,14.71
2000,14.55
2001,14.61
2002,12.57
2003,13.51
2004,14.68
2005,14.94
2006,15.04
2007,14.51
2008,13.47
2009,13.76
2010,12.03
2011,14.89
2012,14.54
2013,13.72
2014,16.76
2015,13.62
2016,13.3
2017,15.29
2018,15.69
2019,15.12
2020,14.61
2021,14.34
2022,14.93
2023,17.11
