date,mean summer epilimnion 5-10 m oxygen concentration
1942,4.89
1949,2.57
1950,2.25
1953,0.98
1954,2.04
1956,3.27
1958,5.03
1959,5.35
1960,4.61
1961,4.77
1962,5.23
1963,2.06
1964,0.34
1965,1.05
1966,1.14
1967,1.43
1968,0.57
1969,0.72
1970,0.69
1971,0.99
1972,0.2
1973,0.17
1974,0.82
1975,0.77
1976,0.3
1977,0.18
1978,1.84
1979,1.12
1980,1.11
1981,0.14
1982,0.79
1983,1.02
1984,1.4
1985,1.96
1986,1.47
1987,0.57
1988,2.49
1989,3.4
1990,3.21
1991,4.69
1992,3.21
1993,8.9
1994,6.0
1995,5.53
1996,7.29
1997,8.06
1998,7.52
1999,5.47
2000,9.83
2001,6.88
2002,7.17
2003,9.07
2004,8.63
2005,8.57
2006,8.95
2007,4.94
2008,7.95
2009,8.05
2010,7.46
2011,10.99
2012,6.12
2013,8.61
2014,4.84
2015,4.43
2016,3.82
2017,6.81
2018,12.78
2019,8.68
2020,9.0
2021,9.75
2022,9.43
2023,8.55
