date,mean autumn Secchi depth
1941,5.94
1949,4.12
1950,4.29
1953,5.41
1954,4.88
1956,6.56
1958,6.83
1959,5.48
1960,6.2
1961,4.55
1962,3.9
1963,4.32
1964,4.16
1965,2.76
1966,2.88
1967,3.54
1968,4.37
1970,2.2
1971,2.9
1972,2.71
1973,2.73
1974,2.48
1975,2.51
1976,2.72
1977,4.31
1978,3.69
1979,3.72
1980,1.88
1981,4.49
1982,3.43
1983,4.86
1984,4.93
1985,3.1
1986,3.2
1987,2.96
1988,5.32
1989,4.03
1990,3.24
1991,4.86
1992,3.56
1993,3.76
1994,3.57
2000,4.69
2001,2.92
2002,3.88
2003,4.1
2004,2.71
2005,5.41
2006,3.21
2007,2.68
2008,4.28
2009,5.33
2010,3.9
2011,4.06
2012,2.57
2013,4.99
2014,2.9
2015,2.87
2016,3.3
2017,4.55
2018,5.21
2019,3.69
2020,5.39
2021,2.79
2022,4.8
2023,4.23
