date,mean summer surface temperature
1942,21.92
1949,20.79
1950,22.46
1953,22.84
1954,19.84
1956,19.26
1958,23.22
1959,21.63
1960,19.67
1961,20.9
1962,21.52
1963,22.44
1964,23.57
1965,21.63
1966,18.67
1967,21.4
1968,23.91
1969,19.42
1970,22.0
1971,21.24
1972,20.48
1973,18.44
1974,21.17
1975,20.19
1976,23.87
1977,20.68
1978,21.0
1979,23.29
1980,20.65
1981,18.31
1982,19.85
1983,22.75
1984,21.74
1985,20.85
1986,22.6
1987,21.01
1988,22.83
1989,22.83
1990,21.85
1991,23.62
1992,22.57
1993,20.32
1994,24.05
1995,22.3
1996,20.56
1997,21.57
1998,21.57
1999,21.46
2000,21.24
2001,20.35
2002,22.06
2003,23.92
2004,21.84
2005,22.67
2006,23.42
2007,21.85
2008,20.51
2009,20.31
2010,21.52
2011,21.01
2012,22.76
2013,20.84
2014,20.51
2015,24.2
2016,24.43
2017,23.16
2018,23.6
2019,23.94
2020,22.38
2021,20.64
2022,23.27
2023,24.1
