date,mean autumn hypolimnetic oxygen concentration
1941,0.86
1949,0.27
1950,0.2
1953,0.14
1954,0.07
1956,0.15
1958,2.25
1959,2.07
1960,2.84
1961,2.36
1962,1.59
1963,0.13
1964,0.13
1965,0.37
1966,0.16
1967,0.08
1968,0.04
1969,0.21
1970,0.14
1971,0.03
1972,0.12
1973,0.23
1974,0.12
1975,0.28
1976,0.16
1977,0.12
1978,0.14
1979,0.68
1980,0.01
1981,0.0
1982,0.13
1983,0.04
1984,0.08
1985,0.19
1986,0.05
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.07
1992,0.13
1993,0.0
1994,0.0
1995,0.02
1996,0.35
1997,0.04
1998,0.0
1999,0.02
2000,0.14
2001,0.1
2002,0.07
2003,0.11
2004,0.12
2005,0.23
2006,0.17
2007,0.21
2008,0.11
2010,0.1
2011,0.09
2012,0.25
2013,0.34
2014,0.13
2015,0.23
2016,0.31
2017,0.36
2018,0.48
2019,0.08
2020,0.16
2021,0.38
2022,0.45
2023,0.05
