date,mean spring epilimnion 0-5 m oxygen concentration
1942,13.01
1949,15.08
1950,14.02
1953,13.98
1954,11.4
1956,14.09
1958,13.35
1959,15.82
1960,16.93
1961,12.94
1962,14.19
1963,8.58
1964,12.02
1965,7.29
1966,14.07
1967,11.25
1968,12.23
1969,10.4
1971,12.07
1972,9.04
1973,12.17
1974,14.01
1975,12.98
1976,14.67
1977,10.04
1978,12.4
1979,14.06
1980,11.25
1981,11.58
1982,10.96
1983,15.77
1984,13.69
1985,13.09
1986,9.5
1987,10.69
1988,13.0
1989,10.35
1990,12.29
1991,12.32
1992,10.63
1993,14.77
1994,14.12
1995,14.54
1996,13.46
1997,11.8
1998,11.79
1999,13.3
2000,13.04
2001,11.8
2002,11.26
2003,13.96
2004,12.6
2005,13.58
2006,9.98
2007,11.82
2008,11.96
2009,11.62
2010,11.69
2011,11.58
2012,12.75
2013,12.05
2014,11.81
2015,11.83
2016,11.84
2017,13.55
2018,12.31
2019,11.58
2020,11.27
2021,11.78
2022,11.62
2023,12.08
