date,mean spring Schmidt stability
1942,79.12
1949,167.02
1950,52.89
1953,67.66
1954,24.54
1956,82.46
1958,32.81
1959,131.94
1960,126.88
1961,136.86
1962,24.29
1963,54.24
1964,75.28
1965,14.76
1966,111.44
1967,79.65
1968,70.76
1969,22.82
1971,170.6
1972,70.57
1973,28.33
1974,136.29
1975,62.24
1976,135.38
1977,35.66
1978,30.23
1979,47.75
1980,32.79
1981,58.8
1982,46.46
1983,84.14
1984,25.69
1985,121.9
1986,117.74
1987,70.21
1988,181.78
1989,119.2
1990,135.82
1991,77.9
1992,115.66
1993,190.27
1994,84.04
1995,108.73
1996,266.71
1997,143.34
1998,137.75
1999,179.1
2000,155.95
2001,124.14
2002,112.73
2003,206.31
2004,136.09
2005,170.9
2007,333.17
2008,109.45
2009,188.19
2010,81.08
2011,267.86
2012,113.5
2013,186.3
2014,203.6
2015,120.54
2016,129.18
2017,256.77
2018,138.14
2019,102.62
2020,205.79
2021,107.42
2022,123.89
2023,116.98
