date,mean early autumn Schmidt stability
1941,571.45
1942,725.1
1949,911.15
1950,687.56
1953,724.58
1954,647.73
1956,603.88
1958,613.52
1959,453.33
1960,492.33
1961,617.59
1962,600.37
1963,543.94
1964,854.48
1965,555.21
1966,595.79
1967,558.43
1968,629.62
1969,616.28
1970,707.74
1971,617.76
1972,493.86
1973,672.66
1974,574.31
1975,690.92
1977,556.71
1978,694.72
1979,493.85
1980,765.95
1981,604.77
1982,812.49
1983,819.68
1984,616.18
1985,780.59
1986,698.27
1987,728.13
1988,706.36
1989,833.49
1990,813.91
1991,1007.05
1992,942.64
1993,632.14
1994,881.5
1995,700.95
1996,563.77
1997,927.15
1998,640.86
1999,871.93
2000,725.01
2001,615.31
2002,710.73
2003,885.12
2004,736.96
2005,867.32
2006,804.84
2007,741.31
2008,587.59
2010,560.2
2011,927.41
2012,858.41
2013,765.38
2014,800.76
2015,721.76
2016,894.04
2017,778.14
2018,960.29
2019,916.22
2020,944.44
2021,877.52
2022,925.08
2023,1087.58
