date,mean early autumn thermocline depth
1941,7.0
1942,6.8
1949,7.94
1950,6.9
1953,6.8
1954,8.2
1956,7.33
1958,11.83
1959,17.91
1960,4.67
1961,5.7
1962,10.5
1963,7.52
1964,8.36
1965,7.77
1966,8.98
1967,7.97
1968,8.3
1969,7.26
1970,7.1
1971,7.67
1972,7.83
1973,5.86
1974,7.22
1975,7.56
1977,7.89
1978,6.36
1979,5.87
1980,6.17
1981,7.72
1982,7.76
1983,7.76
1984,8.91
1985,8.13
1986,6.74
1987,7.52
1988,7.93
1989,7.86
1990,8.02
1991,7.38
1992,7.46
1993,8.41
1994,6.87
1995,7.93
1996,8.51
1997,7.49
1998,9.03
1999,6.8
2000,6.97
2001,8.25
2002,8.29
2003,7.35
2004,7.12
2005,7.77
2006,7.77
2007,8.02
2008,8.19
2010,7.92
2011,7.93
2012,7.2
2013,6.82
2014,6.91
2015,6.77
2016,6.7
2017,7.38
2018,7.4
2019,8.04
2020,7.95
2021,7.17
2022,7.36
2023,7.31
