date,mean autumn epilimnion 5-10 m oxygen concentration
1941,3.31
1949,2.8
1950,5.8
1953,1.8
1954,4.03
1956,4.3
1958,3.93
1959,3.87
1960,5.04
1961,4.74
1962,7.58
1963,3.43
1964,4.44
1965,4.0
1966,1.72
1967,2.96
1968,2.45
1969,0.99
1970,4.01
1971,3.71
1972,6.24
1973,3.48
1974,5.12
1975,2.57
1976,1.58
1977,4.4
1978,2.99
1979,3.29
1980,2.82
1981,5.53
1982,3.66
1983,5.33
1984,3.71
1985,3.09
1986,3.71
1987,2.41
1988,3.93
1989,4.53
1990,6.66
1991,3.69
1992,6.4
1993,5.71
1994,3.99
1995,3.64
1996,5.55
1997,3.67
1998,6.44
1999,2.68
2000,2.48
2001,3.54
2002,6.64
2003,6.54
2004,3.18
2005,4.12
2006,4.85
2007,4.8
2008,4.49
2009,4.55
2010,4.62
2011,4.77
2012,3.85
2013,6.02
2014,1.31
2015,4.62
2016,5.0
2017,3.38
2018,6.57
2019,5.47
2020,5.52
2021,5.97
2022,6.48
2023,3.09
