date,mean annual surface temperature
1950,12.32
1953,13.28
1954,11.83
1956,12.02
1958,13.22
1959,13.49
1960,12.34
1961,13.19
1962,11.7
1963,11.88
1964,12.63
1966,12.44
1967,13.65
1974,11.93
1975,11.79
1977,12.71
1978,11.67
1979,12.08
1980,12.02
1981,11.15
1985,13.18
1993,12.63
1994,13.63
2007,13.8
2012,13.48
2013,12.26
2015,13.91
2016,13.63
