date,mean winter epilimnion 0-10 m oxygen concentration
1950,8.55
1953,10.45
1959,10.01
1960,8.08
1961,9.24
1962,8.2
1963,9.98
1964,7.12
1974,6.14
1975,7.31
1976,5.98
1978,6.32
1979,7.76
1981,5.5
1985,3.48
1994,8.9
2007,7.99
2012,8.37
2013,9.81
2015,7.01
2016,6.86
