date,mean summer bottom oxygen concentration
1942,0.17
1949,0.39
1950,0.03
1953,0.07
1954,0.02
1956,0.16
1958,0.43
1959,0.66
1960,0.35
1961,0.22
1962,0.34
1963,0.17
1964,0.0
1965,0.09
1966,0.14
1967,0.2
1968,0.0
1969,0.07
1970,0.33
1971,0.0
1972,0.0
1973,0.0
1974,0.09
1975,0.06
1976,0.05
1977,0.0
1978,0.06
1979,0.17
1980,0.14
1981,0.0
1982,0.15
1983,0.0
1984,0.11
1985,0.03
1986,0.04
1987,0.0
1988,0.0
1989,0.04
1990,0.0
1991,0.07
1992,0.44
1993,0.0
1994,0.27
1995,0.0
1996,1.09
1997,0.21
1998,0.03
1999,0.18
2000,0.16
2001,0.17
2002,0.04
2003,0.1
2004,0.11
2005,0.17
2006,0.27
2007,0.1
2008,0.44
2009,0.48
2010,0.83
2011,0.21
2012,0.1
2013,0.24
2014,0.01
2015,0.21
2016,0.47
2017,0.3
2018,0.47
2019,0.48
2020,0.0
2021,0.81
2022,0.36
2023,0.54
