date,mean annual Secchi depth
1950,3.86
1953,3.34
1954,4.35
1956,4.6
1958,4.63
1959,3.8
1960,3.77
1961,3.7
1962,3.67
1963,3.55
1964,3.26
1966,3.52
1967,3.55
1974,3.54
1975,3.3
1978,2.9
1979,2.45
1980,2.13
1985,3.42
1993,3.61
1994,3.48
2007,3.63
2012,3.27
2013,4.35
2015,3.03
2016,2.95
