date,mean winter Secchi depth
1950,6.55
1953,3.66
1959,5.42
1960,5.97
1961,6.96
1962,6.52
1963,0.42
1964,3.39
1974,8.6
1975,8.68
1978,4.63
1979,4.12
1985,4.31
1994,5.09
2007,6.1
2012,4.49
2013,5.44
2015,3.13
2016,4.45
