date,mean annual bottom temperature
1950,5.16
1953,4.47
1954,5.02
1956,4.17
1958,5.07
1959,6.33
1960,4.91
1961,6.67
1962,5.09
1963,4.22
1964,4.59
1966,4.9
1967,5.42
1974,4.52
1975,4.78
1977,5.57
1978,4.77
1979,4.96
1980,4.98
1981,4.47
1985,5.25
2013,4.11
2015,5.28
2016,5.02
