date,minimum Secchi depth
1950,1.8
1953,1.1
1954,2.0
1956,1.2
1958,0.9
1959,0.8
1960,1.1
1961,1.2
1962,1.2
1963,0.4
1964,0.6
1966,1.2
1967,1.8
1974,1.0
1975,1.1
1978,1.6
1979,1.0
1980,1.0
1985,0.7
1993,1.7
1994,1.2
2007,2.2
2012,1.9
2013,2.9
2015,1.6
2016,1.1
