date,mean winter bottom oxygen concentration
1950,7.78
1953,1.4
1959,9.36
1960,7.4
1961,7.16
1962,7.97
1963,0.48
1964,0.18
1974,2.67
1975,6.4
1976,4.06
1978,3.49
1979,3.22
1981,0.0
1985,0.05
2013,1.16
2015,2.83
2016,2.57
