date,mean autumn epilimnion 0-5 m oxygen concentration
1941,9.17
1949,8.74
1950,9.08
1953,10.16
1954,9.87
1956,7.69
1958,4.82
1959,4.68
1960,5.93
1961,7.13
1962,7.82
1963,7.93
1964,7.55
1965,9.53
1966,9.69
1967,10.52
1968,7.05
1969,10.27
1970,11.21
1971,8.99
1972,7.94
1973,8.98
1974,8.02
1975,11.42
1976,8.52
1977,9.67
1978,8.62
1979,8.46
1980,8.81
1981,7.78
1982,9.23
1983,8.02
1984,8.27
1985,8.39
1986,9.05
1987,8.91
1988,8.85
1989,10.12
1990,8.47
1991,8.25
1992,9.18
1993,9.31
1994,11.0
1995,11.71
1996,9.42
1997,9.9
1998,9.44
1999,9.47
2000,9.47
2001,10.2
2002,8.58
2003,9.63
2004,9.8
2005,8.77
2006,9.46
2007,10.2
2008,9.85
2009,8.7
2010,8.63
2011,9.03
2012,11.29
2013,9.37
2014,11.56
2015,9.53
2016,8.54
2017,9.98
2018,9.43
2019,9.63
2020,9.18
2021,9.41
2022,10.06
2023,9.74
