date,mean spring epilimnion 5-10 m oxygen concentration
1942,10.07
1949,10.77
1950,12.69
1953,8.98
1954,10.63
1956,9.68
1958,13.04
1959,11.43
1960,11.2
1961,11.05
1962,12.9
1963,7.3
1964,6.59
1965,6.41
1966,7.66
1967,9.23
1968,9.38
1969,9.34
1971,2.92
1972,4.8
1973,8.23
1974,7.85
1975,11.39
1976,9.92
1977,9.48
1978,11.42
1979,11.26
1980,9.97
1981,8.02
1982,8.84
1983,11.98
1984,12.52
1985,7.31
1986,8.82
1987,8.06
1988,10.52
1989,8.63
1990,9.94
1991,9.31
1992,10.69
1993,12.16
1994,12.4
1995,12.59
1996,12.66
1997,11.29
1998,10.66
1999,11.1
2000,12.26
2001,11.3
2002,11.09
2003,11.92
2004,11.48
2005,11.8
2006,9.9
2007,11.39
2008,11.62
2009,10.45
2010,11.35
2011,12.22
2012,12.51
2013,12.52
2014,9.42
2015,11.05
2016,10.64
2017,11.6
2018,12.87
2019,11.15
2020,11.42
2021,11.84
2022,11.47
2023,11.66
