date,mean summer thermocline depth
1942,6.05
1949,5.81
1950,5.62
1953,4.78
1954,6.35
1956,6.3
1958,4.45
1959,2.75
1960,4.58
1961,3.82
1962,1.93
1963,5.27
1964,4.82
1965,4.82
1966,6.88
1967,5.12
1968,4.94
1969,6.74
1970,5.37
1971,5.6
1972,4.75
1973,5.58
1974,4.55
1975,6.35
1976,4.31
1977,5.7
1978,4.44
1979,3.67
1980,3.78
1981,6.64
1982,6.17
1983,5.32
1984,5.38
1985,5.75
1986,4.49
1987,4.25
1988,5.47
1989,6.43
1990,5.17
1991,5.65
1992,5.85
1993,5.67
1994,4.93
1995,5.38
1996,5.1
1997,7.08
1998,6.34
1999,5.91
2000,6.23
2001,6.08
2002,6.09
2003,6.34
2004,5.51
2005,5.31
2006,5.81
2007,2.97
2008,6.29
2009,6.41
2010,6.3
2011,6.69
2012,5.66
2013,5.32
2014,6.19
2015,4.38
2016,4.18
2017,5.68
2018,5.83
2019,5.54
2020,6.44
2021,6.63
2022,6.41
2023,6.16
