date,maximum winter-spring oxygen recharge
1943,0.0
1950,1.0
1953,0.0
1954,0.0
1956,1.0
1958,1.0
1959,1.0
1960,1.0
1961,1.0
1962,1.0
1963,0.0
1964,0.0
1966,0.0
1967,1.0
1974,1.0
1975,1.0
1976,0.0
1978,1.0
1979,0.0
1980,0.0
1981,0.0
1989,0.0
2013,0.0
2015,0.0
2016,1.0
