date,mean summer epilimnion 0-5 m oxygen concentration
1942,10.15
1949,9.68
1950,8.93
1953,10.48
1954,9.58
1956,10.09
1958,11.07
1959,10.62
1960,10.68
1961,11.26
1962,12.29
1963,8.46
1964,9.45
1965,10.49
1966,9.31
1967,7.94
1968,10.03
1969,11.17
1970,11.19
1971,13.15
1972,7.96
1973,8.26
1974,11.82
1975,8.87
1976,8.05
1977,8.9
1978,13.79
1979,10.06
1980,13.51
1981,10.08
1982,9.86
1983,12.34
1984,10.92
1985,13.07
1986,12.86
1987,11.05
1988,12.35
1989,11.76
1990,12.2
1991,14.07
1992,11.93
1993,13.3
1994,10.65
1995,11.49
1996,10.86
1997,13.55
1998,11.19
1999,11.28
2000,11.23
2001,10.42
2002,11.58
2003,11.2
2004,11.9
2005,10.99
2006,11.15
2007,11.1
2008,11.11
2009,10.53
2010,11.39
2011,9.55
2012,10.47
2013,10.19
2014,10.36
2015,11.42
2016,11.06
2017,10.89
2018,11.08
2019,11.03
2020,10.53
2021,10.06
2022,10.21
2023,11.99
