date,mean winter surface oxygen concentration
1950,8.67
1953,12.07
1959,10.79
1960,8.08
1961,9.6
1962,8.23
1963,15.55
1964,7.29
1974,6.37
1975,7.3
1976,6.09
1978,6.63
1979,8.5
1981,6.22
1985,4.08
1994,8.88
2007,8.02
2012,8.37
2013,9.72
2015,7.2
2016,6.94
