date_start,date_end,delta_2h,delta_18o
2011-01-04,2011-02-01,-85.72,-11.78
2011-02-01,2011-03-01,-85.6,-11.84
2011-03-01,2011-03-29,-85.35,-11.76
2011-03-29,2011-04-26,-85.49,-11.81
2011-04-26,2011-05-24,-85.59,-11.81
2011-05-24,2011-06-21,-85.17,-11.85
2011-06-21,2011-07-19,-83.5,-11.64
2011-07-19,2011-08-16,-83.22,-11.64
2011-08-16,2011-09-13,-83.68,-11.57
2011-09-13,2011-10-11,-81.53,-11.38
2011-10-11,2011-11-08,-83.0,-11.5
2011-11-08,2011-12-05,-84.04,-11.58
2011-12-05,2012-01-02,-84.11,-11.54
2012-01-03,2012-01-30,-84.51,-11.48
2012-02-14,2012-02-27,-86.56,-11.64
2012-02-27,2012-03-26,-85.81,-11.66
2012-03-26,2012-04-23,-84.98,-11.59
2012-04-23,2012-05-21,-86.55,-11.85
2012-05-21,2012-06-18,-88.28,-11.95
2012-06-18,2012-07-16,-86.46,-11.86
2012-07-16,2012-08-13,-86.41,-11.81
2012-08-13,2012-09-10,-85.77,-11.65
2012-09-10,2012-10-09,-85.24,-11.65
2012-10-08,2012-11-05,-85.6,-11.66
2012-11-05,2012-12-02,-85.41,-11.69
2012-12-03,2013-01-07,-84.7,-11.58
2013-01-07,2013-01-28,-85.17,-11.66
2013-01-28,2013-02-25,-85.62,-11.69
2013-03-04,2013-03-25,-85.66,-11.76
2013-03-25,2013-04-22,-86.93,-11.9
2013-04-22,2013-05-20,-88.37,-11.97
2013-05-20,2013-06-17,-88.97,-12.07
2013-06-17,2013-07-01,-88.06,-12.06
2013-07-01,2013-07-29,-87.19,-11.88
2013-08-27,2013-09-09,-86.22,-11.74
2013-09-09,2013-10-07,-85.19,-11.69
2013-10-07,2013-11-04,-82.73,-11.53
2013-11-04,2013-12-02,-85.38,-11.59
2013-12-02,2013-12-30,-86.14,-11.69
2013-12-30,2014-01-27,-86.39,-11.71
2014-01-27,2014-02-24,-86.33,-11.76
2014-02-24,2014-03-24,-85.89,-11.81
2014-03-24,2014-04-07,-86.57,-11.89
2014-04-07,2014-05-19,-87.69,-11.88
2014-05-19,2014-06-16,-87.08,-11.78
2014-06-16,2014-07-14,-87.38,-11.83
2014-07-14,2014-08-11,-87.17,-11.91
2014-08-11,2014-09-08,-86.42,-11.77
2014-09-08,2014-09-22,-87.36,-11.75
2014-10-06,2014-11-03,-84.07,-11.44
2014-11-03,2014-12-01,-86.25,-11.78
2014-12-01,2014-12-29,-86.29,-11.68
2014-12-29,2015-01-26,-86.49,-11.7
2015-01-26,2015-02-24,-87.56,-11.86
2015-02-24,2015-03-23,-86.54,-11.75
2015-03-31,2015-04-20,-86.11,-11.57
2015-04-20,2015-05-18,-88.5,-12.0
2015-05-18,2015-06-15,-88.11,-11.9
2015-06-15,2015-07-13,-88.02,-11.88
2015-07-13,2015-08-10,-87.72,-11.79
2015-08-10,2015-09-07,-87.14,-11.7
2015-09-14,2015-10-05,-87.4,-11.74
2015-10-13,2015-11-03,-87.03,-11.71
2015-11-03,2015-11-30,-87.16,-11.75
2015-12-14,2015-12-28,-86.68,-11.66
2015-12-28,2016-01-25,-83.93,-11.59
2016-01-25,2016-02-22,-84.43,-11.67
2016-02-22,2016-03-21,-85.21,-11.65
2016-03-21,2016-04-18,-86.16,-11.56
2016-04-18,2016-05-17,-85.5,-11.62
2016-05-17,2016-06-13,-87.75,-11.92
2016-06-13,2016-07-11,-87.29,-11.82
2016-07-11,2016-08-08,-85.51,-11.58
2016-08-08,2016-09-05,-85.24,-11.45
2016-09-05,2016-10-03,-82.48,-11.4
2016-10-03,2016-10-31,-82.45,-11.36
2016-10-31,2016-11-28,-84.07,-11.37
2016-11-28,2016-12-27,-87.15,-11.62
2016-12-27,2017-01-23,-87.04,-11.66
2017-01-23,2017-02-20,-86.79,-11.64
2017-02-20,2017-03-20,-85.03,-11.49
2017-03-20,2017-04-18,-85.96,-11.58
2017-04-18,2017-05-15,-85.79,-11.6
2017-05-15,2017-06-12,-85.39,-11.88
2017-06-12,2017-07-10,-86.97,-12.01
2017-07-10,2017-08-07,-85.98,-11.54
2017-08-07,2017-09-04,-85.74,-11.51
2017-09-04,2017-10-02,-82.7,-11.2
2017-10-02,2017-10-30,-84.17,-11.5
2017-10-30,2017-11-27,-83.96,-11.66
2017-11-27,2017-12-27,-85.12,-11.65
2017-12-27,2018-01-22,-82.57,-11.31
2018-01-22,2018-02-19,-84.57,-11.57
2018-02-19,2018-03-19,-84.63,-11.6
2018-03-19,2018-04-16,,
2018-04-16,2018-05-15,-85.99,-11.76
2018-05-14,2018-06-11,-86.27,-11.95
2018-06-11,2018-07-09,-85.53,-11.71
2018-07-09,2018-08-06,-85.99,-11.88
2018-08-06,2018-09-03,-85.31,-11.74
2018-09-03,2018-10-01,-85.23,-11.7
2018-10-01,2018-10-23,-86.13,-11.82
2018-10-29,2018-11-26,,
2018-11-26,2018-12-24,,
2018-12-24,2019-01-21,,
2019-01-21,2019-02-18,,
2019-02-18,2019-03-18,,
2019-03-18,2019-04-15,,
2019-04-15,2019-05-13,,
2019-05-13,2019-06-11,-85.39,-11.89
2019-06-11,2019-07-08,-84.94,-11.7
2019-07-08,2019-08-05,-85.13,-11.83
2019-08-05,2019-09-02,-85.76,-11.61
2019-09-02,2019-09-30,-83.39,-11.47
2019-09-30,2019-10-28,-81.98,-11.41
2019-10-28,2019-11-25,-83.31,-11.58
2019-11-25,2019-12-19,-83.69,-11.6
2019-12-23,2020-01-20,-84.61,-11.67
2020-01-20,2020-02-17,-84.47,-11.67
2020-02-17,2020-03-16,-82.23,-11.43
2020-03-16,2020-04-27,,
2020-04-27,2020-05-11,-84.56,-11.72
2020-05-11,2020-06-08,-84.74,-11.64
2020-06-08,2020-07-06,-84.12,-11.67
2020-07-06,2020-08-03,-84.82,-11.7
2020-08-03,2020-08-31,-82.48,-11.32
2020-08-31,2020-09-28,-84.43,-11.44
2020-09-28,2020-10-26,-83.76,-11.39
2020-10-26,2020-11-23,-82.88,-11.35
2020-11-23,2020-12-21,-84.58,-11.61
2020-12-21,2021-01-18,-86.32,-11.66
2021-01-18,2021-02-15,-85.44,-11.59
2021-02-15,2021-03-15,-85.47,-11.63
2021-03-15,2021-04-12,-84.86,-11.48
2021-04-12,2021-05-10,-82.27,-11.37
2021-05-10,2021-06-07,-82.49,-11.4
2021-06-07,2021-06-21,-83.86,-11.6
2021-06-21,2021-07-05,,
2021-07-05,2021-07-19,,
2021-07-19,2021-08-02,,
2021-08-02,2021-08-16,,
2021-08-24,2021-08-30,-81.23,-11.192
2021-08-30,2021-09-28,-83.65,-11.55
2021-09-28,2021-10-25,-81.85,-11.31
2021-10-25,2021-11-22,-83.69,-11.54
2021-11-22,2021-12-20,-84.47,-11.66
2021-12-20,2022-01-17,-84.19,-11.66
2022-01-17,2022-02-14,-84.84,-11.73
2022-02-14,2022-03-14,-83.61,-11.63
2022-03-14,2022-04-11,-83.47,-11.68
2022-04-11,2022-05-09,-84.91,-11.78
2022-05-09,2022-06-07,-87.0,-12.05
2022-06-07,2022-07-04,-85.7,-11.78
2022-07-04,2022-08-03,-85.66,-11.71
2022-08-03,2022-08-29,-84.82,-11.58
2022-08-29,2022-09-26,-84.32,-11.59
2022-09-26,2022-10-24,-82.16,-11.38
2022-10-24,2022-11-21,-80.95,-11.2
2022-11-21,2022-12-19,-82.77,-11.44
2022-12-19,2023-01-16,,
2023-01-16,2023-02-27,,
2023-02-27,2023-03-13,-84.05,-11.63
2023-03-13,2023-04-11,-83.13,-11.49
2023-04-11,2023-05-08,-83.39,-11.52
2023-05-08,2023-06-05,-84.28,-11.69
2023-06-05,2023-07-03,-85.47,-11.78
2023-07-03,2023-07-31,-85.8,-11.87
2023-07-31,2023-08-28,-85.45,-11.76
2023-09-11,2023-09-25,-83.3,-11.39
2023-09-25,2023-10-23,-83.66,-11.48
2023-10-23,2023-11-20,-82.32,-11.41
2023-11-20,2023-12-18,-84.86,-11.67
