date_start,date_end,delta_2h,delta_18o
2002-07-01,2002-07-15,-87.92,-12.23
2002-07-15,2002-07-29,-87.48,-12.17
2002-07-29,2002-08-12,-78.3517,-10.7
2002-08-12,2002-08-26,-88.4706,-12.38
2002-08-26,2002-09-09,-87.3499,-12.25
2002-09-09,2002-09-23,-88.21,-12.33
2002-09-23,2002-10-07,-86.8728,-12.53
2002-10-07,2002-10-21,-90.008,-12.45
2002-10-21,2002-11-04,-88.58,-12.23
2002-11-04,2002-11-18,-89.9,-12.36
2002-11-18,2002-12-02,-90.3,-12.33
2002-12-02,2002-12-16,-91.7,-12.55
2002-12-16,2002-12-30,-92.5,-12.64
2002-12-30,2003-01-27,-92.9709,-12.69
2003-01-24,2003-02-24,,
2003-02-24,2003-03-24,-93.0958,-12.77
2003-03-24,2003-04-21,-92.7646,-12.69
2003-04-21,2003-05-19,-94.349,-12.88
2003-05-19,2003-06-16,-95.7597,-13.26
2003-06-16,2003-07-14,-92.4445,-12.88
2003-07-14,2003-08-11,-88.3932,-12.32
2003-08-11,2003-09-08,-85.2246,-12.04
2003-09-08,2003-10-06,-88.3018,-12.23
2003-10-06,2003-11-03,-89.1889,-12.44
2003-11-03,2003-12-01,-91.8662,-12.58
2003-12-01,2003-12-29,-94.3308,-12.65
2003-12-29,2004-01-26,-94.1558,-12.64
2004-01-26,2004-02-23,-94.3081,-12.72
2004-02-23,2004-03-22,-93.5688,-12.74
2004-03-22,2004-04-19,-95.9814,-12.87
2004-04-19,2004-05-17,-98.8208,-13.37
2004-05-17,2004-06-14,-103.3319,-14.09
2004-06-14,2004-07-12,-104.3955,-14.33
2004-07-12,2004-08-09,-98.8978,-13.61
2004-08-09,2004-09-06,-93.6232,-13.06
2004-09-06,2004-10-04,-93.3314,-12.9
2004-10-04,2004-11-01,-92.4873,-12.84
2004-11-01,2004-11-29,-93.8296,-12.89
2004-11-29,2004-12-27,-94.8534,-13.05
2004-12-27,2005-01-24,-95.1779,-13.05
2005-01-24,2005-02-21,-95.256,-13.04
2005-02-21,2005-03-21,-95.8137,-13.15
2005-03-21,2005-04-18,-98.9864,-13.32
2005-04-18,2005-05-16,-98.8008,-13.45
2005-05-16,2005-06-13,-100.3894,-13.65
2005-06-13,2005-07-11,-96.756,-13.28
2005-07-11,2005-08-08,-91.2968,-12.59
2005-08-08,2005-09-05,-91.4317,-12.6065
2005-09-05,2005-10-03,-92.8956,-12.7059
2005-10-03,2005-10-31,-93.0889,-12.8
2005-10-31,2005-11-28,-95.1939,-12.8784
2005-11-28,2005-12-26,-94.9122,-13.0
2005-12-26,2006-01-23,-94.52,-12.96
2006-01-23,2006-02-20,-95.63,-13.01
2006-02-20,2006-03-20,-95.8142,-12.99
2006-03-20,2006-04-17,-96.1271,-13.18
2006-04-17,2006-05-15,-99.0475,-13.6
2006-05-15,2006-06-12,-101.3022,-13.82
2006-06-12,2006-07-10,-99.6772,-13.61
2006-07-10,2006-08-07,-92.3433,-12.64
2006-08-07,2006-09-04,-91.2861,-12.56
2006-09-04,2006-10-02,-92.8183,-12.7
2006-10-02,2006-10-30,-90.5373,-12.42
2006-10-30,2006-11-27,-92.892,-12.75
2006-11-27,2006-12-25,-93.7992,-12.82
2006-12-25,2007-01-22,-99.839,-13.6
2007-01-22,2007-02-19,-94.7918,-12.9
2007-02-19,2007-03-19,-75.258,-10.29
2007-03-19,2007-04-16,-94.988,-12.94
2007-04-16,2007-05-14,-96.0534,-13.04
2007-05-14,2007-06-11,-94.3696,-12.89
2007-06-11,2007-07-09,-88.883,-12.29
2007-07-09,2007-08-06,-89.1035,-12.23
2007-08-06,2007-09-03,-85.6132,-11.94
2007-09-03,2007-10-01,-86.9906,-12.13
2007-10-01,2007-10-29,-87.8735,-12.11
2007-10-29,2007-11-26,-74.8726,-10.36
2007-11-26,2007-12-24,-92.9617,-12.62
2007-12-24,2008-01-21,-92.8603,-12.6173
2008-01-21,2008-02-18,-93.3076,-12.6542
2008-02-18,2008-03-17,-98.1133,-13.41
2008-03-17,2008-04-14,-93.473,-12.68
2008-04-14,2008-05-12,-92.0524,-12.56
2008-05-12,2008-06-09,-94.981,-12.94
2008-06-09,2008-07-07,-94.5998,-13.06
2008-07-07,2008-08-04,-87.4365,-12.12
2008-08-04,2008-09-01,-86.0028,-11.97
2008-09-01,2008-09-29,-84.4254,-11.69
2008-09-29,2008-10-27,-88.7996,-12.2
2008-10-27,2008-11-24,-87.7505,-12.0042
2008-11-24,2008-12-22,-90.9365,-12.43
2009-01-06,2009-02-03,-92.2118,-12.6638
2009-02-03,2009-03-03,-93.1274,-12.62
2009-03-03,2009-03-31,-94.1643,-12.67
2009-03-31,2009-04-28,-95.8549,-13.07
2009-04-28,2009-05-26,-96.6685,-13.2
2009-05-26,2009-06-23,-97.9704,-13.42
2009-06-23,2009-07-21,-97.4466,-13.3721
2009-07-21,2009-08-18,-93.8442,-12.91
2009-08-18,2009-09-15,-91.5785,-12.58
2009-09-15,2009-10-13,-92.4875,-12.8
2009-10-13,2009-11-10,-94.372,-12.98
2009-11-10,2009-12-08,-96.0522,-13.05
2009-12-08,2010-01-05,-95.2725,-13.02
2010-01-05,2010-02-02,-94.6555,-12.95
2010-02-02,2010-03-02,-94.8837,-12.94
2010-03-02,2010-03-30,-95.0456,-13.05
2010-03-30,2010-04-27,-96.3568,-13.14
2010-04-27,2010-05-25,-98.6588,-13.37
2010-05-25,2010-06-22,-99.3622,-13.71
2010-06-22,2010-07-20,-101.9644,-14.03
2010-07-20,2010-08-17,-98.0792,-13.41
