date_start,date_end,delta_2h,delta_18o
1997-01-06,1997-01-20,-92.8,-12.64
1997-02-03,1997-02-17,-92.5,-12.65
1997-03-03,1997-03-19,-93.3,-12.65
1997-04-03,1997-04-17,-94.4,-12.63
1997-05-02,1997-05-16,-91.5,-12.66
1997-06-02,1997-06-18,-94.3,-12.78
1997-07-02,1997-07-18,-95.1,-12.54
1997-08-04,1997-08-18,-93.7,-12.06
1997-09-05,1997-09-15,-92.0,-12.46
1997-10-06,1997-10-20,-91.4,-12.45
1997-11-04,1997-11-19,-89.1,-12.35
1997-12-03,1997-12-19,-90.0,-12.43
1998-01-02,1998-01-16,-91.8,-12.37
1998-02-02,1998-02-18,,-12.53
1998-03-06,1998-03-20,-90.8,-12.54
1998-04-06,1998-04-22,-93.1,-12.63
1998-05-08,1998-05-22,-92.2,-12.71
1998-06-08,1998-06-24,-94.0,-12.8
1998-07-08,1998-07-21,-94.3,-12.8
1998-08-04,1998-08-19,-92.7,-12.95
1998-09-04,1998-09-15,-94.1,-12.79
1998-10-05,1998-10-21,-93.3,-12.67
1998-11-06,1998-11-23,-92.9,-12.58
1998-12-07,1998-12-23,-91.2,-12.55
1999-01-08,1999-01-22,-92.5505,-12.52
1999-02-05,1999-02-19,-91.2858,-12.6999
1999-03-05,1999-03-19,-87.1338,-12.68
1999-04-05,1999-04-19,-90.165,-12.71
1999-05-05,1999-05-21,-93.6313,-12.65
1999-06-07,1999-06-18,-92.8,-12.8
1999-07-05,1999-07-21,-97.4,-12.86
1999-08-06,1999-08-20,-96.6,-12.89
1999-09-03,1999-09-22,-96.84,-12.98
1999-10-08,1999-10-22,-92.84,-12.93
1999-11-05,1999-11-19,-93.48,-12.81
1999-12-06,1999-12-22,-95.0,-12.76
2000-01-07,2000-01-21,-93.1608,-12.63
2000-02-04,2000-02-18,-93.683,-12.58
2000-03-06,2000-03-22,-94.0077,-12.64
2000-04-05,2000-04-21,-93.1768,-12.59
2000-05-05,2000-05-22,-95.6791,-12.75
2000-06-07,2000-06-23,-95.6382,-12.97
2000-07-07,2000-07-21,-95.5466,-12.95
2000-08-04,2000-08-21,-95.4518,-12.78
2000-09-04,2000-09-20,-92.4303,-12.76
2000-10-06,2000-10-23,-91.9055,-12.74
2000-11-08,2000-11-22,-87.3356,-12.67
2000-12-08,2000-12-22,-94.4462,-12.68
2001-01-08,2001-01-22,-90.7917,-12.65
2001-02-05,2001-02-19,-99.4438,-12.62
2001-03-06,2001-03-21,-92.9322,-12.61
2001-04-03,2001-04-17,-98.3,-12.61
2001-05-04,2001-05-21,-99.9,-12.63
2001-06-04,2001-06-19,-97.6,-12.7
2001-07-04,2001-07-20,-99.6,-12.69
2001-08-06,2001-08-21,-94.1,-12.68
2001-09-04,2001-09-24,-93.1,-12.6
2001-10-10,2001-10-26,-93.8,-12.51
2001-11-12,2001-11-28,-92.2,-12.46
2001-12-14,2001-12-28,-91.7,-12.53
2002-01-11,2002-01-22,-90.9805,-12.5
2002-02-08,2002-02-25,-90.2028,-12.51
2002-03-05,2002-03-12,-89.6792,-12.47
2002-04-05,2002-04-19,-90.6913,-12.53
2002-05-06,2002-05-22,-90.9762,-12.52
2002-06-05,2002-06-19,-92.6606,-12.52
2002-07-04,2002-07-23,-90.5106,-12.53
2002-08-07,2002-08-21,-90.8608,-12.53
2002-09-04,2002-09-24,-89.9992,-12.5
2002-10-01,2002-10-26,-89.3664,-12.29
2002-11-04,2002-11-26,-89.5226,-12.39
2002-12-06,2002-12-20,-89.1697,-12.37
2003-01-06,2003-01-20,-89.9324,-12.36
2003-02-05,2003-02-21,-90.8052,-12.43
2003-03-07,2003-03-21,-90.2121,-12.7
2003-04-09,2003-04-22,-90.0278,-12.48
2003-05-05,2003-05-21,-90.3393,-12.49
2003-06-04,2003-06-20,-90.7805,-12.65
2003-07-07,2003-07-21,-91.1968,-12.82
2003-08-07,2003-08-22,-91.729,-12.74
2003-09-04,2003-09-22,-92.1536,-12.86
2003-10-07,2003-10-17,-93.4551,-12.69
2003-11-07,2003-11-21,-91.4147,-12.6
2003-12-05,2003-12-22,-91.2523,-12.54
2004-01-05,2004-01-21,-90.9148,-12.53
2004-02-09,2004-02-23,-90.7421,-12.52
2004-03-08,2004-03-24,-90.2997,-12.49
2004-04-09,2004-04-23,-90.62,-12.49
2004-05-10,2004-05-26,-91.0157,-12.64
2004-06-10,2004-06-28,-91.9594,-12.72
2004-07-14,2004-07-22,-94.5138,-12.89
2004-08-16,2004-08-30,-92.437,-12.76
2004-09-13,2004-09-27,-91.8898,-12.67
2004-10-08,2004-10-22,-91.3909,-12.63
2004-11-05,2004-11-26,-90.4545,-12.6
2004-12-10,2004-12-24,-91.1895,-12.56
2005-01-07,2005-01-21,-90.5944,-12.51
2005-02-04,2005-02-13,-90.8752,-12.56
2005-03-04,2005-03-18,-90.0897,-12.54
2005-04-08,2005-04-22,-89.5746,-12.47
2005-05-06,2005-05-27,-89.6771,-12.56
2005-06-10,2005-06-24,-91.8387,-12.59
2005-07-08,2005-07-22,-91.0399,-12.65
2005-08-08,2005-08-19,-91.0055,-12.68
2005-09-05,2005-09-21,-89.3452,-12.53
2005-10-07,2005-10-21,-89.8083,-12.39
2005-11-07,2005-11-23,-88.8277,-12.36
2005-12-09,2005-12-21,-89.3978,-12.36
2006-01-06,2006-01-23,-89.9976,-12.43
2006-02-08,2006-02-24,-90.3102,-12.46
2006-03-08,2006-03-24,-89.699,-12.44
2006-04-07,2006-04-21,-88.3517,-12.42
2006-05-05,2006-05-18,-90.0326,-12.48
