date_start,date_end,delta_2h,delta_18o
1994-01-10,1994-02-07,-92.1,-12.47
1994-02-07,1994-03-07,-90.4,-12.3
1994-03-07,1994-04-05,,
1994-04-05,1994-05-02,-90.1,-12.58
1994-05-02,1994-05-30,-103.3,-12.92
1994-05-30,1994-06-27,-91.8,-13.13
1994-06-27,1994-07-25,-90.9,-12.92
1994-07-25,1994-08-22,-89.3,-12.17
1994-08-22,1994-09-19,-81.8,-11.73
1994-09-19,1994-10-17,-85.1,-12.09
1994-10-17,1994-11-15,-87.8,-12.4
1994-11-15,1994-12-15,-90.2,-12.33
1994-12-15,1995-01-09,,-12.33
1995-01-09,1995-02-06,-94.4,-12.29
1995-02-06,1995-03-06,-90.5,-12.31
1995-03-06,1995-04-03,-87.6,-12.47
1995-04-03,1995-05-01,-91.5,-12.79
1995-05-01,1995-05-29,,-13.32
1995-05-29,1995-06-26,-102.1,-13.79
1995-06-26,1995-07-24,-102.4,-13.94
1995-07-24,1995-08-21,-96.4,-13.2
1995-08-21,1995-09-18,-94.9,-12.8
1995-09-18,1995-10-16,-92.5,-12.82
1995-10-16,1995-11-13,-90.9,-12.83
1995-11-13,1995-12-11,-93.0,-12.92
1995-12-11,1996-01-08,-94.0,-12.9
1996-01-08,1996-02-05,-94.6,-12.89
1996-02-05,1996-03-04,-92.8,-12.91
1996-03-04,1996-04-01,-93.0,-12.97
1996-04-01,1996-04-29,-92.4,-13.05
1996-04-29,1996-05-28,-95.5,-13.19
1996-05-28,1996-06-24,-95.2,-13.11
1996-06-24,1996-07-22,-90.2,-12.69
1996-07-22,1996-08-19,-92.2,-12.68
1996-08-19,1996-09-16,-91.7,-12.52
1996-09-16,1996-10-14,-92.2,-12.59
1996-10-14,1996-11-11,-91.9,-12.57
1996-11-11,1996-12-10,-90.8,-12.37
1996-12-10,1997-01-06,-92.5,-12.58
1997-01-06,1997-02-03,-89.5,-12.49
1997-02-03,1997-03-03,-90.4,-12.38
1997-03-03,1997-04-01,-92.5,-12.52
1997-04-01,1997-04-29,-87.9,-12.45
1997-04-29,1997-05-26,-91.2,-12.78
1997-05-26,1997-06-23,-94.3,-12.95
1997-06-23,1997-07-21,-90.6,-12.46
1997-07-21,1997-08-18,-88.2,-12.44
1997-08-18,1997-09-15,-91.7,-12.41
1997-09-15,1997-10-13,-89.0,-12.22
1997-10-13,1997-11-10,-92.2,-12.41
1997-11-10,1997-12-08,-94.1,-12.4
1997-12-08,1998-01-05,-95.6,-12.56
1998-01-05,1998-02-02,,-12.35
1998-02-02,1998-03-02,-90.6,-12.51
1998-03-02,1998-03-30,-92.7,-12.46
1998-03-30,1998-04-28,-92.1,-12.89
1998-04-28,1998-05-26,-97.2,-13.09
1998-05-26,1998-06-23,-95.1,-13.22
1998-06-23,1998-07-20,-95.7,-12.81
1998-07-20,1998-08-17,-88.4,-12.15
1998-08-17,1998-09-14,-88.3,-11.99
1998-09-14,1998-10-12,-92.1,-12.24
1998-10-12,1998-11-09,-92.8,-12.33
1998-11-09,1998-12-07,-93.6,-12.37
1998-12-07,1999-01-04,-90.7545,-12.39
1999-01-04,1999-02-01,-89.7841,-12.27
1999-02-01,1999-03-01,-89.5482,-12.2875
1999-03-01,1999-03-29,-93.402,-12.41
1999-03-29,1999-04-26,-96.6981,-12.95
1999-04-26,1999-05-24,-100.6,-13.58
