date_start,date_end,delta_2h,delta_18o
1994-01-10,1994-02-07,,-10.54
1994-02-07,1994-03-07,,-10.51
1994-04-05,1994-05-02,,-10.65
1994-05-02,1994-05-30,,-10.76
1994-05-30,1994-06-27,,-10.84
1994-06-27,1994-07-25,,-10.92
1994-07-25,1994-08-22,,-10.95
1994-08-22,1994-09-19,,-10.73
1994-09-19,1994-10-17,,-10.78
1994-10-17,1994-11-15,,-10.76
1994-11-15,1994-12-15,,-10.6
1995-01-09,1995-02-06,,-10.38
1995-02-06,1995-03-06,,-10.45
1995-03-06,1995-04-03,,-10.45
1995-04-03,1995-04-03,,-10.67
1995-05-01,1995-05-29,,-10.97
1995-05-29,1995-06-26,,-10.85
1995-11-13,1995-12-11,,-10.89
1995-12-15,1996-01-09,,-10.5
1996-01-08,1996-02-05,,-10.89
1996-02-05,1996-03-04,,-10.78
1996-03-04,1996-04-02,,-10.99
1996-04-01,1996-04-29,,-10.97
1996-04-29,1996-05-13,,-11.04
1996-05-28,1996-06-24,,-11.04
1996-06-24,1996-07-22,,-11.18
1996-07-22,1996-08-19,,-11.02
1996-08-19,1996-09-16,,-10.93
1996-09-16,1996-10-14,,-10.98
1996-10-14,1996-11-11,,-10.04
1996-11-11,1996-12-10,,-10.82
1996-12-10,1997-01-06,,-10.76
1997-01-06,1997-02-03,,-10.81
1997-02-03,1997-03-03,,-10.63
1997-03-03,1997-04-01,,-10.78
1997-04-01,1997-04-29,,-10.72
1997-04-29,1997-05-26,,-10.99
1997-05-26,1997-06-23,,-11.01
1997-06-23,1997-07-21,,-10.87
1997-07-21,1997-08-18,,-10.88
1997-08-18,1997-09-15,,-10.88
1997-09-15,1997-10-13,,-10.82
1997-10-13,1997-11-10,,-10.76
1997-11-10,1997-12-08,,-10.81
1997-12-08,1998-01-05,,-10.84
1998-01-05,1998-02-02,,-10.69
1998-02-02,1998-03-02,,-10.75
1998-03-02,1998-03-30,,-10.78
1998-03-30,1998-04-28,,-10.8
1998-04-28,1998-05-26,,-11.09
1998-05-26,1998-06-23,,-10.76
1998-06-23,1998-07-20,,-11.12
1998-07-20,1998-08-17,,-11.03
1998-08-17,1998-09-14,,-10.83
1998-09-14,1998-10-12,,-10.92
1998-10-12,1998-11-09,,-10.72
1998-11-09,1998-12-07,,-10.63
1998-12-07,1999-01-04,,-10.74
1999-01-04,1999-02-01,,-10.55
1999-02-01,1999-03-01,,-10.74
1999-03-01,1999-03-29,,-10.69
1999-03-29,1999-04-26,,-10.8
1999-04-26,1999-05-24,,
1999-05-24,1999-06-21,,-11.18
1999-06-21,1999-07-19,,-11.15
1999-07-19,1999-08-16,,-11.19
1999-08-16,1999-09-13,,-11.08
1999-09-13,1999-10-11,,-10.84
1999-10-11,1999-11-08,,-10.88
1999-11-08,1999-12-06,,-10.68
1999-12-06,2000-01-03,,-10.55
2000-01-31,2000-02-28,,-10.43
2000-02-28,2000-03-27,,-10.4
2000-03-27,2000-04-24,,-10.76
2000-04-24,2000-05-22,,-10.62
2000-05-22,2000-06-19,,-10.94
2000-06-19,2000-07-17,,-10.98
2000-07-17,2000-08-14,,-10.88
2000-08-14,2000-09-11,,-11.78
2000-09-11,2000-10-09,,-10.81
2000-10-09,2000-11-06,,-10.7
2000-11-06,2000-12-04,,-10.62
2000-12-04,2001-01-01,,-10.57
2001-01-01,2001-01-29,,-10.39
2001-01-29,2001-02-26,,-10.61
2001-02-26,2001-03-26,,-10.73
2001-03-26,2001-04-23,,-10.69
2001-04-23,2001-05-21,,-10.75
2001-05-21,2001-06-18,,-10.77
2001-06-18,2001-07-16,,-10.94
2001-07-16,2001-08-13,,-10.91
2001-08-13,2001-09-10,,-10.87
2001-09-10,2001-10-08,,-10.72
2001-10-08,2001-11-05,,-10.56
2001-11-05,2001-12-03,,-10.41
2001-12-03,2001-12-31,,-10.57
2001-12-31,2002-01-28,,-10.41
2002-01-28,2002-02-25,,-10.36
2002-02-25,2002-03-25,,-10.23
2002-03-25,2002-04-22,,-10.58
2002-04-22,2002-05-20,,-10.74
2002-05-20,2002-06-17,,-10.77
2002-06-17,2002-07-15,,-10.8
2002-07-15,2002-08-12,,-11.34
2002-08-12,2002-09-09,,-10.73
2002-09-09,2002-10-07,,-10.69
2002-10-07,2002-11-04,,-10.41
2002-11-04,2002-12-02,,-10.98
2002-12-02,2002-12-30,,-10.44
2002-12-30,2003-01-27,,-10.45
2003-02-24,2003-03-24,,-10.53
2003-03-24,2003-04-21,,-10.53
2003-04-21,2003-05-19,,-10.71
2003-05-19,2003-06-16,,-10.76
2003-06-16,2003-07-14,,-10.83
2003-07-14,2003-08-11,,-10.77
2003-08-11,2003-09-08,,-10.76
2003-09-08,2003-10-06,,-10.69
2003-10-06,2003-11-03,,-10.59
2003-11-03,2003-12-01,,-10.66
2003-12-01,2003-12-29,,-10.67
2003-12-29,2004-01-26,,-10.57
2004-01-26,2004-02-23,,-10.57
2004-02-23,2004-03-22,,-10.59
2004-03-22,2004-04-19,,-10.7
2004-04-19,2004-05-17,,-10.85
2004-05-17,2004-06-14,,-11.03
2004-06-14,2004-07-12,,-11.12
2004-07-12,2004-08-09,,-11.2
2004-08-09,2004-09-06,,-11.05
2004-09-06,2004-10-04,,-10.86
2004-10-04,2004-11-01,,-10.67
2004-11-01,2004-11-29,,-10.54
2004-11-29,2004-12-27,,-10.62
2004-12-27,2005-01-24,,-10.39
2005-01-24,2005-02-21,,-10.41
2005-02-21,2005-03-21,,-10.58
2005-03-21,2005-04-18,,-10.68
2005-04-18,2005-05-16,,-10.65
2005-05-16,2005-06-13,,-10.78
2005-06-13,2005-07-11,,-10.87
2005-07-11,2005-08-08,,-10.67
2005-08-08,2005-09-05,,-10.69
2005-09-05,2005-10-03,,-10.61
2005-10-03,2005-10-31,,-10.55
2005-10-31,2005-11-28,,-10.46
2005-11-28,2005-12-26,,-10.455
2005-12-26,2006-01-23,,-10.39
2006-01-23,2006-02-20,,-10.41
2006-02-20,2006-03-20,,-10.38
2006-03-20,2006-04-17,,-10.47
2006-04-17,2006-05-15,,-10.46
2006-05-15,2006-06-12,,-10.5
2006-06-12,2006-07-10,,-10.8
2006-07-10,2006-08-07,,-10.71
2006-08-07,2006-09-04,,-10.6271
2006-09-04,2006-10-02,,-10.66
2006-10-02,2006-10-30,,-10.41
2006-10-30,2006-11-27,,-10.49
2006-11-27,2006-12-25,,-10.44
2006-12-25,2007-01-22,,-10.59
