date_start,date_end,delta_2h,delta_18o
1995-07-04,1995-07-15,-78.2,-11.03
1995-08-01,1995-08-15,-75.4,-10.74
1995-09-01,1995-09-15,-75.0,-10.4
1995-10-06,1995-10-15,-74.7,-10.57
1995-11-11,1995-11-15,-75.6,-10.84
1995-12-01,1995-12-15,-74.9,-11.34
1996-01-05,1996-01-15,-74.4,-10.7
1996-02-01,1996-02-15,-78.8,-11.17
1996-03-01,1996-03-15,-77.8,-10.96
1996-04-01,1996-04-15,-76.1,-10.8
1996-05-01,1996-05-15,-75.3,-10.64
1996-06-01,1996-06-15,-75.9,-10.78
1996-07-01,1996-07-15,-71.4,-10.34
1996-08-01,1996-08-15,-73.0,-10.42
1996-09-01,1996-09-15,-71.6,-10.13
1996-10-01,1996-10-15,-72.7,-10.48
1996-11-01,1996-11-15,-70.2,-9.92
1996-12-03,1996-12-15,-70.8,-10.01
1997-01-06,1997-02-03,-76.1,-9.11
1997-02-03,1997-03-03,-75.1,-10.52
1997-03-03,1997-04-01,-72.0,-10.56
1997-04-01,1997-04-29,-75.5,-10.51
1997-04-29,1997-05-26,-75.1,-10.4
1997-05-26,1997-06-23,-78.9,-10.76
1997-06-23,1997-07-21,-71.3,-9.63
1997-07-21,1997-08-18,,
1997-08-18,1997-09-15,,
1997-09-15,1997-10-13,-66.7,-10.13
1997-10-13,1997-11-10,-72.3,-10.29
1997-11-10,1997-12-08,-68.4,-10.26
1997-12-08,1998-01-05,-70.8,-10.25
1998-01-05,1998-02-02,,-10.34
1998-02-02,1998-03-02,-74.7,-10.38
1998-03-02,1998-03-30,-74.0,-10.48
1998-03-30,1998-04-28,-69.9,-9.98
1998-04-28,1998-05-26,-75.0,-10.47
1998-05-26,1998-06-23,-71.9,-10.37
1998-06-23,1998-07-20,-75.5,-10.46
1998-07-20,1998-08-17,-69.6,-9.98
1998-08-17,1998-09-14,-68.2,-9.91
1998-09-14,1998-10-12,-70.3,-9.95
1998-10-12,1998-11-09,-71.9,-10.21
1998-11-09,1998-12-07,-75.6,-10.53
1998-12-07,1999-01-04,-74.2,-10.52
1999-01-04,1999-02-01,-73.7,-10.64
1999-02-01,1999-03-01,-76.7,-10.81
1999-03-01,1999-03-29,-74.8,-10.71
1999-03-29,1999-04-26,-76.0,-10.71
1999-04-26,1999-05-24,-69.8,-10.59
1999-05-24,1999-06-21,-71.8,-10.69
1999-06-21,1999-07-19,-78.2,-10.67
1999-07-19,1999-08-16,-76.1,-10.35
1999-08-16,1999-09-13,-67.75,-9.42
1999-09-13,1999-10-11,-63.73,-9.27
1999-10-11,1999-11-08,-66.49,-9.39
1999-11-08,1999-12-06,-71.95,-9.92
1999-12-06,2000-01-03,-73.92,-10.43
2000-01-15,2000-01-15,,
2000-02-15,2000-02-15,-74.1876,-10.42
2000-03-15,2000-03-15,,-10.42
2000-04-15,2000-04-15,-71.0718,-9.98
2000-05-15,2000-05-15,-72.0857,-10.04
2000-06-15,2000-06-15,-71.0003,-10.11
2000-07-15,2000-07-15,-69.7057,-9.93
2000-08-15,2000-08-15,-66.2593,-9.54
2000-09-15,2000-09-15,-66.0043,-10.78
2000-10-15,2000-10-15,-65.2993,-9.6
2000-11-15,2000-11-15,-81.8243,-9.99
2000-12-15,2000-12-15,-56.2381,-9.9447
2001-01-15,2001-01-15,-68.2,-9.62
2001-02-15,2001-02-15,-77.6,-10.04
2001-03-15,2001-03-15,-63.2,-9.61
2001-04-15,2001-04-15,-76.0,-9.63
2001-05-15,2001-05-15,-79.4,-10.56
2001-06-15,2001-06-15,-76.6,-10.06
2001-07-15,2001-07-15,-77.2,-10.14
2001-08-15,2001-08-15,-69.3,-9.8
2001-09-15,2001-09-15,-67.9,-9.43
2001-10-15,2001-10-15,-69.6,-9.64
2001-11-15,2001-11-15,-72.6,-10.27
2001-12-15,2001-12-15,-73.9,-10.42
2002-01-15,2002-01-15,-72.2525,-10.49
2002-02-15,2002-02-15,-68.8627,-9.69
2002-03-15,2002-03-15,-69.3656,-10.13
2002-04-15,2002-04-15,-69.9887,-10.0
2002-05-15,2002-05-15,-66.8645,-9.55
2002-06-15,2002-06-15,-67.8814,-9.92
2002-07-15,2002-07-15,-65.5467,-9.6
2002-08-15,2002-08-15,-66.2837,-9.7
2002-09-15,2002-09-15,-67.7752,-9.66
2002-10-15,2002-10-15,-64.6146,-9.54
2002-11-15,2002-11-15,-65.9796,-9.7
2002-12-15,2002-12-15,-66.1559,-9.81
2003-01-15,2003-01-15,-70.3702,-10.11
2003-02-15,2003-02-15,-71.4463,-10.29
2003-03-15,2003-03-15,-70.2987,-9.78
2003-04-15,2003-04-15,-72.3995,-10.32
2003-05-15,2003-05-15,-74.6084,-10.67
2003-06-15,2003-06-15,-75.9086,-10.98
2003-07-15,2003-07-15,-72.9067,-10.42
2003-08-15,2003-08-15,-72.0029,-10.5
2003-09-15,2003-09-15,-69.1509,-10.19
2003-10-15,2003-10-15,-70.5476,-10.26
2003-11-15,2003-11-15,,
2003-12-15,2003-12-15,-69.7898,-10.0
2004-01-15,2004-01-15,-73.6247,-10.52
2004-02-15,2004-02-15,-73.1635,-10.42
2004-03-15,2004-03-15,-73.41,-10.5
2004-04-15,2004-04-15,-74.7844,-10.71
2004-05-15,2004-05-15,-78.1989,-11.15
2004-06-15,2004-06-15,-82.2899,-11.72
2004-07-15,2004-07-15,-75.2237,-10.77
2004-08-15,2004-08-15,-69.8762,-10.2
2004-09-15,2004-09-15,-71.3346,-10.36
2004-10-15,2004-10-15,-66.9306,-9.85
2004-11-15,2004-11-15,-70.6949,-10.45
2004-12-15,2004-12-15,-73.5558,-10.7
2005-01-15,2005-01-15,-75.5921,-10.89
2005-02-15,2005-02-15,-76.1152,-11.03
2005-03-15,2005-03-15,-75.7315,-10.83
2005-04-15,2005-04-15,-73.08,-10.71
2005-05-15,2005-05-15,-72.951,-10.48
2005-06-15,2005-06-15,-73.9254,-10.71
2005-07-15,2005-07-15,-76.8223,-10.89
2005-08-15,2005-08-15,-68.8417,-10.05
2005-09-15,2005-09-15,-69.7527,-10.2126
2005-10-15,2005-10-15,-72.0711,-10.4402
2005-11-15,2005-11-15,-72.999,-10.54
2005-12-15,2005-12-15,-73.649,-10.63
2006-01-15,2006-01-15,-75.8644,-10.85
2006-02-15,2006-02-15,-74.0789,-10.58
2006-03-15,2006-03-15,-73.3657,-10.5536
2006-04-15,2006-04-15,-71.5603,-10.3349
2006-05-15,2006-05-15,-75.6714,-10.93
2006-06-15,2006-06-15,-75.6536,-10.94
2006-07-15,2006-07-15,-70.9111,-10.4
2006-08-15,2006-08-15,-67.5088,-9.85
2006-09-15,2006-09-15,-69.1115,-10.15
2006-10-15,2006-10-15,-66.3076,-9.79
2006-11-15,2006-11-15,-69.5425,-10.03
2006-12-15,2006-12-15,-67.353,-9.87
2007-01-15,2007-01-15,-71.3868,-10.47
2007-02-15,2007-02-15,-71.2229,-10.22
2007-03-15,2007-03-15,-70.9787,-10.21
2007-04-15,2007-04-15,-71.4695,-10.32
2007-05-15,2007-05-15,-71.9331,-10.35
2007-06-15,2007-06-15,-65.132,-9.76
2007-07-15,2007-07-15,-65.4694,-9.52
2007-08-15,2007-08-15,-65.3933,-9.54
2007-09-15,2007-09-15,-66.5553,-9.63
2007-10-15,2007-10-15,-67.9462,-9.85
2007-11-15,2007-11-15,-69.3173,-9.97
2007-12-15,2007-12-15,-69.0536,-9.96
