date_start,date_end,delta_2h,delta_18o
1994-01-10,1994-02-07,-100.3,-13.58
1994-02-07,1994-03-07,-103.6,-13.82
1994-03-07,1994-04-05,,
1994-04-05,1994-05-02,-96.8,-13.75
1994-05-02,1994-05-30,-99.5,-13.87
1994-05-30,1994-06-27,-101.0,-14.01
1994-06-27,1994-07-25,-100.6,-14.31
1994-07-25,1994-08-22,-103.5,-14.09
1994-08-22,1994-09-19,-97.0,-13.44
1994-09-19,1994-10-17,-97.0,-13.57
1994-10-17,1994-11-15,-100.3,-13.75
1994-11-15,1994-12-15,-101.6,-13.75
1994-12-15,1995-01-09,,-13.74
1995-01-09,1995-02-06,-101.6,-13.65
1995-02-06,1995-03-06,-101.3,-13.65
1995-03-06,1995-04-03,-100.3,-13.6
1995-04-03,1995-05-01,-103.3,-13.65
1995-05-01,1995-05-29,,-13.95
1995-05-29,1995-06-26,-105.4,-14.43
1995-06-26,1995-07-24,-106.6,-15.01
1995-07-24,1995-08-21,-109.0,-14.79
1995-08-21,1995-09-18,-103.1,-14.02
1995-09-18,1995-10-16,-108.5,-14.06
1995-10-16,1995-11-13,-106.8,-14.41
1995-11-13,1995-12-11,-105.6,-14.32
1995-12-11,1996-01-08,-105.6,-14.08
1996-01-08,1996-02-05,-106.7,-14.61
1996-02-05,1996-03-04,-105.9,-14.58
1996-03-04,1996-04-01,-106.0,-14.23
1996-04-01,1996-04-29,-104.7,-14.19
1996-04-29,1996-05-28,-105.1,-14.2
1996-05-28,1996-06-24,-107.5,-14.45
1996-06-24,1996-07-22,-105.2,-14.25
1996-07-22,1996-08-19,-103.2,-13.98
1996-08-19,1996-09-16,-102.8,-13.74
1996-09-16,1996-10-14,-105.0,-14.01
1996-10-14,1996-11-11,-101.2,-13.6
1996-11-11,1996-12-10,-101.4,-13.78
1996-12-10,1997-01-06,-103.9,-13.89
1997-01-06,1997-02-03,-103.3,-14.07
1997-02-03,1997-03-03,-99.6,-13.79
1997-03-03,1997-04-01,-104.1,-13.76
1997-04-01,1997-04-29,-102.3,-13.92
1997-04-29,1997-05-26,-103.2,-13.89
1997-05-26,1997-06-23,-103.3,-14.33
1997-06-23,1997-07-21,-101.7,-13.54
1997-07-21,1997-08-18,-100.0,-13.77
1997-08-18,1997-09-15,-103.5,-13.96
1997-09-15,1997-10-13,-103.0,-14.02
1997-10-13,1997-11-10,-101.8,-13.85
1997-11-10,1997-12-08,-103.1,-13.97
1997-12-08,1998-01-05,-100.9,-13.44
1998-01-05,1998-02-02,,-13.85
1998-02-02,1998-03-02,-105.8,-13.98
1998-03-02,1998-03-30,-103.9,-13.84
1998-03-30,1998-04-28,-102.0,-13.63
1998-04-28,1998-05-26,-105.6,-14.4
1998-05-26,1998-06-23,-104.8,-14.5
1998-06-23,1998-07-20,-102.6,-14.33
1998-07-20,1998-08-17,-105.9,-14.48
1998-08-17,1998-09-14,-103.4,-14.1
1998-09-14,1998-10-12,-101.3,-13.65
1998-10-12,1998-11-09,-99.1,-13.23
1998-11-09,1998-12-07,-103.8,-13.97
1998-12-07,1999-01-04,-102.07,-13.79
1999-01-04,1999-02-01,-103.4,-13.91
1999-02-01,1999-03-01,-102.3,-14.14
1999-03-01,1999-03-29,-102.4,-13.72
1999-03-29,1999-04-26,-103.1,-13.81
1999-04-26,1999-05-24,-103.3,-14.22
1999-05-24,1999-06-21,-98.0,-13.86
1999-06-21,1999-07-19,-109.1,-14.5
1999-07-19,1999-08-16,-108.3,-14.39
1999-08-16,1999-09-13,-103.64,-13.99
1999-09-13,1999-10-11,-100.2,-13.79
1999-10-11,1999-11-08,-103.93,-13.93
1999-11-08,1999-12-06,-103.57,-14.11
1999-12-06,2000-01-03,-103.84,-13.75
2000-01-03,2000-01-31,-104.0915,-14.04
2000-01-31,2000-02-28,-102.655,-13.77
2000-02-28,2000-03-27,-103.2598,-13.84
2000-03-27,2000-04-24,-104.0988,-13.82
2000-04-24,2000-05-22,-106.1135,-14.04
2000-05-22,2000-06-19,-105.6335,-14.08
2000-06-19,2000-07-17,-106.5277,-14.23
2000-07-17,2000-08-14,-103.8817,-13.94
2000-08-14,2000-09-11,-101.1427,-13.87
2000-09-11,2000-10-09,-98.8117,-13.6
2000-10-09,2000-11-06,-96.493,-13.13
2000-11-06,2000-12-04,-98.4667,-13.71
2000-12-04,2001-01-01,-99.9182,-13.63
2001-01-01,2001-01-29,-99.3,-13.63
2001-01-29,2001-02-26,-99.3,-13.75
2001-02-26,2001-03-26,-98.3,-13.54
2001-03-26,2001-04-23,-106.2,-13.58
2001-04-23,2001-05-21,-106.2,-13.7
2001-05-21,2001-06-18,-107.6,-13.83
2001-06-18,2001-07-16,-109.4,-13.95
2001-07-16,2001-08-13,-102.8,-13.76
2001-08-13,2001-09-10,-97.7,-13.27
2001-09-10,2001-10-08,-101.0,-13.48
2001-10-08,2001-11-05,-101.2,-13.34
2001-11-05,2001-12-03,-100.7,-13.69
2001-12-03,2001-12-31,-100.2165,-13.68
2001-12-31,2002-01-28,-100.2815,-13.7
2002-01-28,2002-02-26,-101.1429,-13.69
2002-02-26,2002-03-25,-96.8693,-13.29
2002-03-25,2002-04-23,-96.06,-13.42
2002-04-23,2002-05-20,-97.4527,-13.34
2002-05-20,2002-06-17,-91.1373,-13.37
2002-06-17,2002-07-15,-98.8388,-13.56
2002-07-15,2002-08-12,-97.641,-13.57
2002-08-12,2002-09-09,-99.0137,-13.6
2002-09-09,2002-10-07,-98.9689,-13.62
2002-10-07,2002-11-04,-94.9302,-13.09
2002-11-04,2002-12-02,-95.586,-13.17
2002-12-02,2002-12-30,-98.127,-13.3
2002-12-30,2003-01-27,-97.4497,-13.29
2003-01-27,2003-02-24,,
2003-02-24,2003-03-24,-98.2463,-13.54
2003-03-24,2003-04-21,-98.2692,-13.47
2003-04-21,2003-05-19,-101.7339,-13.93
2003-05-19,2003-06-16,-103.3195,-14.2
2003-06-16,2003-07-14,-105.2792,-14.44
2003-07-14,2003-08-11,-102.8101,-14.2
2003-08-11,2003-09-08,-100.401,-13.91
2003-09-08,2003-10-06,-100.0941,-13.79
2003-10-06,2003-11-03,-99.0437,-13.53
2003-11-03,2003-12-01,-100.456,-13.85
2003-12-01,2003-12-29,-102.4105,-13.72
2003-12-29,2004-01-26,-100.0889,-13.61
2004-01-26,2004-02-23,-101.0595,-13.72
2004-02-23,2004-03-22,,
2004-03-22,2004-04-19,-98.6854,-13.42
2004-04-19,2004-05-17,-100.5723,-13.69
2004-05-17,2004-06-14,-106.8091,-14.59
2004-06-14,2004-07-12,-110.5365,-14.89
2004-07-12,2004-08-09,-106.594,-14.53
2004-08-09,2004-09-06,-99.3224,-13.8
2004-09-06,2004-10-04,-102.0563,-14.01
2004-10-04,2004-11-01,-99.7696,-13.65
2004-11-01,2004-11-29,-99.1858,-13.66
2004-11-29,2004-12-27,-102.5206,-14.01
