date_start,date_end,delta_2h,delta_18o
1992-07-02,1992-07-02,-103.1,-14.16
1992-07-06,1992-07-06,-104.0,-14.2
1992-07-09,1992-07-09,-105.7,-14.14
1992-07-13,1992-07-13,-101.3,-13.73
1992-07-16,1992-07-16,-104.3,-14.06
1992-07-20,1992-07-20,-103.3,-14.23
1992-07-23,1992-07-23,-104.4,-13.93
1992-07-27,1992-07-27,-105.2,-14.17
1992-07-30,1992-07-30,-105.8,-14.16
1992-08-03,1992-08-03,-101.3,-14.04
1992-08-06,1992-08-06,-99.8,-14.1
1992-08-10,1992-08-10,-100.1,-14.04
1992-08-13,1992-08-13,-100.7,-14.03
1992-08-17,1992-08-17,-100.2,-14.13
1992-08-19,1992-08-19,-91.2,-12.31
1992-08-24,1992-08-24,-99.9,-13.83
1992-08-27,1992-08-27,-100.0,-13.84
1992-08-31,1992-08-31,-88.2,-11.75
1992-09-10,1992-09-10,-91.0,-12.86
1992-10-02,1992-10-02,-99.3,-13.13
1992-10-15,1992-10-15,-98.2,-13.66
1992-11-05,1992-11-05,-92.9,-12.88
1992-11-19,1992-11-19,-93.9,-13.25
1992-12-03,1992-12-03,-95.4,-13.11
1992-12-17,1992-12-17,-96.5,-13.04
1993-01-08,1993-01-08,-100.9,-13.86
1993-01-22,1993-01-22,-98.9,-13.48
1993-02-05,1993-02-05,-100.9,-13.64
1993-02-19,1993-02-19,-100.9,-11.71
1993-03-05,1993-03-05,-107.1,-14.37
1993-03-19,1993-03-19,-91.5,-13.57
1993-04-02,1993-04-02,-101.0,-14.02
1993-04-16,1993-04-16,-93.5,-13.29
1993-05-07,1993-05-07,-104.0,-13.83
1993-05-21,1993-05-21,-100.1,-13.22
1993-06-04,1993-06-18,-91.2,-12.71
1993-07-09,1993-07-23,-103.3,-13.55
1993-08-06,1993-08-20,-99.0,-13.51
1993-09-03,1993-09-21,-99.0,-13.41
1993-11-16,1993-11-16,-97.5,-13.18
1993-12-03,1993-12-17,-93.7,-12.75
1994-01-07,1994-01-21,-93.0,-12.87
1994-02-03,1994-02-03,-100.2,-13.06
1994-03-03,1994-03-03,-94.5,-13.06
1994-04-07,1994-04-07,-96.0,-13.51
1994-05-06,1994-05-20,-106.8,-13.79
1994-06-03,1994-06-17,-99.8,-13.72
1994-07-08,1994-07-22,-102.5,-14.08
1994-08-05,1994-08-19,-99.1,-13.57
1994-09-02,1994-09-16,-86.4,-12.29
1994-10-07,1994-10-21,-95.0,-13.0
1994-11-04,1994-11-17,-94.6,-13.21
1994-12-02,1994-12-16,-98.7,-13.72
1995-01-06,1995-01-20,-96.5,-12.99
1995-02-03,1995-02-17,-93.0,-12.88
1995-03-07,1995-03-17,-99.6,-13.36
1995-03-31,1995-04-14,-101.6,-13.43
1995-04-28,1995-05-12,-93.6,-12.73
1995-05-26,1995-06-09,-104.0,-13.45
1995-06-16,1995-06-30,-113.6,-15.02
1995-07-14,1995-07-28,-108.9,-15.06
1995-08-18,1995-09-01,-106.6,-14.64
1995-09-15,1995-10-06,-100.8,-13.73
1995-10-20,1995-11-03,-106.3,-14.42
1995-11-17,1995-12-01,-106.2,-14.42
1995-12-15,1996-01-05,-101.4,-13.08
1996-01-19,1996-02-02,-105.3,-14.22
1996-02-16,1996-03-01,-111.1,-15.06
1996-03-15,1996-04-05,-105.7,-14.66
1996-04-19,1996-05-03,-103.4,-14.49
1996-05-17,1996-06-07,-104.7,-14.28
1996-06-21,1996-06-21,-111.2,-14.25
1996-07-05,1996-07-19,-102.2,-14.19
1996-08-02,1996-08-16,-99.9,-13.71
1996-09-06,1996-09-20,-100.0,-13.8
1996-10-04,1996-10-18,-96.8,-13.6
1996-11-01,1996-11-15,-95.6,-12.98
1996-12-06,1996-12-20,-100.1,-13.67
1997-01-03,1997-01-14,-100.8,-13.84
1997-02-04,1997-02-14,-103.7,-14.24
1997-03-04,1997-03-14,-102.9,-13.81
1997-04-01,1997-04-14,-102.2,-13.87
1997-05-02,1997-05-16,-92.4,-13.47
1997-06-06,1997-06-16,-103.1,-13.69
1997-07-04,1997-07-15,-99.9,-13.4
1997-08-05,1997-08-15,-99.8,-13.47
1997-09-01,1997-09-12,-98.4,-13.74
1997-10-03,1997-10-14,-93.5,-13.22
1997-11-03,1997-11-14,-101.5,-13.37
1997-12-02,1997-12-16,-99.1,-13.88
1998-01-02,1998-01-16,-98.7,-13.28
1998-02-03,1998-02-13,,-13.73
1998-03-03,1998-03-13,-96.2,-13.03
1998-04-04,1998-04-14,-102.5,-13.97
1998-05-01,1998-05-15,-105.8,-14.32
1998-06-02,1998-06-16,-107.7,-14.72
1998-07-03,1998-07-14,-96.7,-13.34
1998-08-04,1998-08-14,-98.8,-13.74
1998-09-04,1998-09-21,-98.2,-13.63
1998-10-02,1998-10-13,-99.3,-13.56
1998-11-03,1998-11-20,-99.7,-13.34
1998-12-01,1998-12-11,-102.3,-13.91
1999-01-05,1999-01-12,-101.2637,-13.83
1999-02-02,1999-02-12,-103.8665,-13.98
1999-03-05,1999-03-16,-98.2506,-13.7672
1999-04-02,1999-04-16,-99.4173,-13.76
1999-05-04,1999-05-15,-104.4193,-14.22
1999-06-01,1999-06-15,-86.6,-14.39
1999-07-02,1999-07-15,-108.3,-14.61
1999-08-03,1999-08-13,-106.6,-14.25
1999-09-03,1999-09-14,-107.06,-14.41
1999-10-01,1999-10-26,-101.29,-13.97
1999-11-05,1999-11-16,-101.59,-13.9932
1999-12-03,1999-12-14,-105.33,-14.36
2000-01-04,2000-01-21,-104.513,-14.2
2000-02-04,2000-02-18,-100.7008,-13.58
2000-03-03,2000-03-19,-100.0942,-13.46
2000-04-04,2000-04-14,-99.4735,-13.48
2000-05-05,2000-05-16,-108.114,-14.45
