date,mean summer epilimnion 0-10 m oxygen concentration
1961,9.38
1963,10.87
1982,9.56
1983,11.19
1984,10.09
1985,10.56
1986,9.99
1987,9.93
1988,9.72
1989,9.83
1990,11.07
1991,10.34
1992,10.53
1993,9.8
1994,11.97
1995,10.64
1996,9.98
1997,10.43
1998,9.54
1999,10.35
2000,9.72
2001,10.6
2002,9.78
2003,9.74
2004,9.87
2005,10.03
2006,9.92
2007,10.0
2008,9.22
2009,9.17
2010,9.88
2011,10.21
2012,9.21
2013,10.3
2014,10.0
2015,9.7
2016,10.36
2017,9.68
2018,9.48
2019,10.07
2020,9.82
2021,10.09
2022,9.08
2023,9.61
