date,mean summer Secchi depth
2003,3.77
2004,6.53
2005,7.55
2006,4.21
2007,3.83
2008,4.97
2009,4.23
2010,4.13
2011,7.65
2012,3.93
2013,5.13
2014,4.92
2015,4.13
2016,3.09
2017,5.98
2018,3.1
2019,7.66
2020,6.97
2021,6.11
2022,3.35
2023,6.76
