date,mean summer hypolimnetic oxygen concentration
1982,10.47
1983,9.69
1984,10.78
1985,10.51
1986,10.88
1987,10.69
1988,10.37
1989,9.61
1990,9.68
1991,10.12
1992,10.52
1993,9.64
1994,10.16
1995,10.02
1996,10.03
1997,9.55
1998,9.48
1999,10.84
2000,10.33
2001,10.27
2002,10.53
2003,10.44
2004,10.35
2005,10.66
2006,11.09
2007,9.84
2008,10.23
2009,10.22
2010,10.13
2011,10.4
2012,9.63
2013,10.42
2014,10.51
2015,10.2
2016,9.88
2017,9.65
2018,10.21
2019,10.04
2020,9.67
2021,10.35
2022,10.32
2023,10.6
