date,mean early autumn Schmidt stability
1957,870.23
1958,1205.15
1959,1297.64
1960,1012.92
1982,1267.01
1983,1565.69
1984,1282.84
1985,1314.16
1986,1114.84
1987,1267.78
1988,1095.61
1989,1011.45
1990,1316.74
1993,919.58
1994,1213.22
1995,1005.14
1996,880.63
1997,1398.69
1998,1105.48
1999,1685.74
2000,1076.33
2001,986.4
2002,1161.93
2003,1472.5
2004,1494.04
2005,1714.21
2006,1334.38
2007,1204.49
2008,1538.95
2009,1273.69
2010,884.86
2011,1668.58
2012,1363.16
2013,1411.93
2014,1275.85
2015,1339.76
2016,1575.9
2017,1317.27
2018,1756.38
2019,1424.86
2020,1481.63
2021,1463.6
2022,1766.05
2023,1995.87
