date,mean annual surface temperature
1961,12.35
1963,11.53
1982,11.68
1983,12.61
1984,12.02
1999,13.04
2000,13.79
2001,13.06
2002,13.3
2003,14.61
2004,13.25
2005,13.03
2006,13.55
2007,13.81
2008,13.13
2009,13.99
2010,11.31
2011,14.38
2012,13.28
2013,12.86
2014,13.45
2015,13.88
2016,13.16
2017,14.05
2018,13.76
2019,13.23
2020,13.86
2021,14.32
2022,14.42
2023,15.08
