date,mean autumn hypolimnetic oxygen concentration
1982,8.83
1983,8.44
1984,9.62
1986,9.37
1987,9.24
1988,9.0
1989,8.35
1990,8.2
1991,8.72
1993,9.13
1994,8.76
1995,8.14
1996,8.52
1997,9.18
1998,9.13
1999,10.02
2000,9.12
2001,7.96
2002,9.22
2003,9.06
2004,8.52
2005,9.28
2006,9.03
2007,8.53
2008,8.97
2009,8.73
2010,9.21
2011,8.38
2012,8.45
2013,8.9
2014,7.87
2015,8.59
2016,8.51
2017,8.13
2018,8.87
2019,8.84
2020,8.35
2021,9.53
2022,9.53
2023,8.97
