date,mean spring epilimnion 5-10 m oxygen concentration
1961,12.99
1963,12.76
1982,11.95
1983,11.84
1984,12.81
1985,12.47
1986,12.38
1987,12.19
1988,12.38
1989,11.93
1990,11.81
1991,12.54
1992,12.06
1993,12.64
1994,11.76
1996,9.95
1998,11.25
1999,11.96
2000,11.96
2001,11.67
2002,12.72
2003,12.47
2004,11.64
2005,11.79
2006,13.18
2007,12.59
2008,12.15
2009,13.15
2010,11.71
2011,12.76
2012,12.14
2013,12.35
2014,11.3
2015,11.87
2016,12.28
2017,13.23
2018,12.69
2019,12.28
2020,11.1
2021,11.64
2022,12.53
2023,12.15
