date,mean annual bottom density
1999,1000.1673
2000,1000.1712
2001,1000.1556
2002,1000.1639
2003,1000.1719
2004,1000.1663
2005,1000.1776
2006,1000.1839
2007,1000.153
2008,1000.1612
2009,1000.1792
2010,1000.1816
2011,1000.1766
2012,1000.1816
2013,1000.1784
2014,1000.1616
2015,1000.1598
2016,1000.1447
2017,1000.1661
2018,1000.1739
2019,1000.1454
2020,1000.1217
2021,1000.1332
2022,1000.1382
2023,1000.135
