date,mean winter surface oxygen concentration
1961,11.38
1982,12.4
1983,11.08
2000,11.96
2001,11.17
2002,11.4
2004,10.35
2005,10.96
2006,11.24
2007,10.96
2008,11.33
2009,11.15
2010,10.25
2011,10.78
2012,10.65
2013,10.76
2014,10.67
2015,10.54
2016,10.45
2017,11.22
2018,11.2
2019,10.51
2020,10.53
2022,10.88
2023,10.97
