date,mean spring epilimnion 0-5 m oxygen concentration
1961,13.95
1963,12.83
1982,11.91
1983,12.87
1984,12.99
1985,12.49
1986,12.61
1987,12.3
1988,12.53
1989,12.07
1990,12.59
1991,12.47
1992,12.1
1993,12.97
1994,12.13
1996,11.01
1998,11.16
1999,10.89
2000,11.75
2001,11.91
2002,12.9
2003,14.14
2004,11.7
2005,11.91
2006,13.08
2007,12.92
2008,12.17
2009,13.0
2010,11.83
2011,12.64
2012,12.01
2013,13.19
2014,11.33
2015,11.8
2016,12.21
2017,13.15
2018,12.64
2019,12.22
2020,11.02
2021,11.61
2022,12.38
2023,12.05
