date,mean annual hypolimnetic density
1999,1000.1298
2000,1000.0943
2001,1000.0784
2002,1000.0983
2003,1000.1174
2004,1000.1042
2005,1000.1287
2006,1000.1366
2007,1000.0874
2008,1000.1037
2009,1000.1177
2010,1000.1069
2011,1000.127
2012,1000.099
2013,1000.1251
2014,1000.0661
2015,1000.1018
2016,1000.0734
2017,1000.0954
2018,1000.1138
2019,1000.0552
2020,1000.0064
2021,1000.0439
2022,1000.0855
2023,1000.0482
