date,mean winter bottom oxygen concentration
1982,10.61
1983,11.23
2000,11.29
2001,9.2
2002,11.4
2004,10.46
2005,10.58
2006,11.23
2007,10.46
2008,10.93
2009,11.03
2010,9.36
2011,9.24
2012,9.23
2013,9.1
2014,8.51
2015,8.81
2016,8.92
2017,11.21
2018,11.2
2019,9.39
2020,9.17
2022,10.95
2023,9.46
