date,mean late autumn bottom oxygen concentration
1982,7.52
1983,7.15
1984,8.64
1986,9.0
1987,8.62
1988,9.09
1989,8.21
1990,7.52
1991,8.12
1993,8.8
1994,8.18
1995,7.92
1998,8.04
1999,10.71
2000,9.37
2001,8.04
2002,8.49
2003,8.68
2004,8.19
2005,8.37
2006,8.82
2007,8.66
2008,8.47
2009,8.91
2010,8.95
2012,8.82
2013,8.99
2014,7.39
2015,7.29
2016,8.11
2017,8.39
2018,9.24
2019,8.88
2020,8.36
2021,9.47
2022,9.04
2023,9.1
