date,mean autumn Secchi depth
2003,7.46
2004,7.0
2005,6.57
2006,6.4
2007,3.89
2008,6.23
2009,7.27
2010,5.85
2011,8.75
2012,7.98
2013,7.65
2014,5.46
2015,8.32
2016,6.41
2017,7.38
2018,7.37
2019,8.94
2020,9.61
2021,7.82
2022,7.42
2023,6.53
