date,minimum bottom temperature
1982,4.7
1983,5.1
1984,4.0
1999,4.5
2000,4.8
2001,5.4
2002,5.1
2003,5.0
2004,5.0
2005,4.5
2006,4.06
2007,5.78
2008,5.61
2009,4.76
2010,4.26
2011,4.76
2012,3.99
2013,4.76
2014,5.68
2015,5.51
2016,6.19
2017,5.24
2018,4.64
2019,5.64
2020,6.71
2021,6.14
2022,6.05
2023,6.2
