date,mean autumn bottom oxygen concentration
1982,7.58
1983,6.45
1984,8.57
1986,8.73
1987,8.19
1988,8.26
1989,7.68
1990,7.02
1991,7.95
1993,8.61
1994,8.16
1995,7.89
1996,9.29
1997,8.01
1998,8.28
1999,8.53
2000,8.42
2001,7.48
2002,8.15
2003,8.03
2004,8.18
2005,8.09
2006,8.55
2007,8.35
2008,8.2
2009,8.68
2010,9.08
2011,7.26
2012,8.6
2013,8.43
2014,7.65
2015,7.56
2016,7.78
2017,8.19
2018,8.87
2019,8.86
2020,8.53
2021,9.42
2022,9.14
2023,8.97
