date,mean early autumn hypolimnetic oxygen concentration
1982,8.65
1983,8.57
1984,9.76
1985,9.52
1986,9.94
1987,9.68
1988,9.0
1989,8.45
1990,8.57
1991,9.06
1993,8.6
1994,9.2
1995,7.19
1996,9.04
1997,8.22
1998,11.36
1999,10.41
2000,9.52
2001,8.62
2002,9.33
2003,9.52
2004,9.01
2005,9.75
2006,9.82
2007,8.6
2008,9.12
2009,9.09
2010,9.34
2011,8.95
2012,8.37
2013,9.17
2014,8.23
2015,8.73
2016,8.7
2017,8.49
2018,9.07
2019,8.96
2020,8.28
2021,9.59
2022,9.72
2023,9.23
