date,mean summer epilimnion 0-5 m oxygen concentration
1961,9.42
1963,10.97
1982,9.52
1983,11.41
1984,10.23
1985,10.77
1986,9.88
1987,9.9
1988,9.81
1989,10.13
1990,11.28
1991,10.52
1992,10.52
1993,9.77
1994,11.82
1995,10.51
1996,9.77
1997,10.17
1998,9.5
1999,9.98
2000,9.8
2001,10.63
2002,9.64
2003,9.46
2004,9.73
2005,9.95
2006,9.38
2007,9.98
2008,9.16
2009,9.06
2010,9.59
2011,10.16
2012,9.13
2013,10.03
2014,10.07
2015,9.65
2016,10.11
2017,9.62
2018,9.41
2019,9.82
2020,9.78
2021,9.91
2022,9.0
2023,9.42
